%C3%9Cbereinkommen+von+Paris-de = preferredTerm-admn-sts
%C3%9Cbernahme+eines+Asylbewerbers-de = preferredTerm-admn-sts
Arbeiterpartei-de = supersededTerm-admn-sts
Aufhebung+der+ehelichen+Gemeinschaft-de = supersededTerm-admn-sts
Deformit%C3%A4t-de = preferredTerm-admn-sts
Diese+Verordnung+ist+in+allen+ihren+Teilen+verbindlich+und+gilt+gem%C3%A4%C3%9F+dem+Vertrag+zur+Gr%C3%BCndung+der+Europ%C3%A4ischen+Gemeinschaft+unmittelbar+in+den+Mitgliedstaaten.-de = supersededTerm-admn-sts
ESVP-de = supersededTerm-admn-sts
Eintritt+des+Erbfalls-de = preferredTerm-admn-sts
Europ%C3%A4ische+Beobachtungsstelle+f%C3%BCr+Wanderungsbewegungen-de = supersededTerm-admn-sts
Europ%C3%A4isches+System+zur+%C3%9Cberwachung+von+Resistenzen+gegen+antimikrobielle+Wirkstoffe-de = supersededTerm-admn-sts
Familienangeh%C3%B6riger+eines+Ausl%C3%A4nders-de = preferredTerm-admn-sts
GSR-Fonds-de = supersededTerm-admn-sts
Generaldirektion+C+-+Wettbewerbsf%C3%A4higkeit+-+Innovation+und+Forschung+-+Industrie+und+Informationsgesellschaft+-+Binnenmarkt+-+Wettbewerb+und+Zoll+-+Verkehr+-+Energie-de = supersededTerm-admn-sts
Generaldirektion+I+-+Klimawandel%2C+Umwelt%2C+Gesundheit%2C+Verbraucher%2C+Lebensmittel%2C+Bildung%2C+Jugend%2C+Kultur%2C+audiovisuelle+Medien+und+Sport-de = supersededTerm-admn-sts
Gro%C3%9Fes+Aufhebungsgesetz-de = supersededTerm-admn-sts
Karibische+Gemeinschaft+und+Karibischer+Gemeinsamer+Markt-de = supersededTerm-admn-sts
Legalisierung+des+Aufenthalts-de = preferredTerm-admn-sts
Nachweis+einer+Krankenversicherung-de = admittedTerm-admn-sts
Nichtgemeinschaftswaren-de = supersededTerm-admn-sts
Reisevisum-de = admittedTerm-admn-sts
Rettich-de = preferredTerm-admn-sts
Rippenbatterie-de = admittedTerm-admn-sts
Sekund%C3%A4remission-de = preferredTerm-admn-sts
VE-de = supersededTerm-admn-sts
Variationskoeffizient-de = preferredTerm-admn-sts
