%C8%99pag%C4%83-ro = admittedTerm-admn-sts
Dobanda+simpla-ro = preferredTerm-admn-sts
Swaziland-ro = supersededTerm-admn-sts
cadru+al+UE+privind+rezultatele+dezvolt%C4%83rii+%C8%99i+cooper%C4%83rii-ro = supersededTerm-admn-sts
contract+de+munc%C4%83+de+zero+ore-ro = preferredTerm-admn-sts
conversie+de+convenien%C8%9B%C4%83-ro = supersededTerm-admn-sts
descuamare-ro = preferredTerm-admn-sts
dezvoltare+imobiliar%C4%83-ro = preferredTerm-admn-sts
discurs+de+deschidere-ro = preferredTerm-admn-sts
gestiune+direct%C4%83-ro = preferredTerm-admn-sts
hemoragie-ro = preferredTerm-admn-sts
hot%C4%83r%C3%A2re+rectificat%C4%83-ro = supersededTerm-admn-sts
infec%C8%9Bie+cu+virusurile+gripei+aviare+slab+patogene-ro = preferredTerm-admn-sts
land-ro = preferredTerm-admn-sts
permis+de+%C8%99edere+pe+durat%C4%83+nedeterminat%C4%83-ro = preferredTerm-admn-sts
pia%C8%9B%C4%83-lider-ro = preferredTerm-admn-sts
prizonier+de+con%C8%99tiin%C8%9B%C4%83-ro = preferredTerm-admn-sts
provizioane+pentru+executarea+garan%C8%9Biilor+standard-ro = preferredTerm-admn-sts
punte+a+pere%C8%9Bilor+etan%C8%99i-ro = preferredTerm-admn-sts
substan%C8%9B%C4%83+care+diminueaz%C4%83+stratul+de+ozon-ro = preferredTerm-admn-sts
Frontul+al-Nosra-ro = supersededTerm-admn-sts
Grupul+de+lucru+CONUN-ro = admittedTerm-admn-sts
Observatorul+european+al+contrafacerii+%C8%99i+al+pirateriei-ro = supersededTerm-admn-sts
Strategia+privind+combaterea+terorismului%2Flupt%C4%83torii+str%C4%83ini-ro = supersededTerm-admn-sts
affectio+maritalis-ro = supersededTerm-admn-sts
cooperare+consular%C4%83+local%C4%83+%C3%AEn+materie+de+vize-ro = supersededTerm-admn-sts
decizie+prin+care+se+pronun%C8%9B%C4%83+asupra+fondului+%C3%AEn+ac%C8%9Biunea+principal%C4%83-ro = supersededTerm-admn-sts
interven%C8%9Bie+%C3%AEntr-un+litigiu+aflat+pe+rolul+Cur%C8%9Bii-ro = supersededTerm-admn-sts
mixtur%C4%83-ro = preferredTerm-admn-sts
musculatur%C4%83+neted%C4%83-ro = preferredTerm-admn-sts
putere+p%C4%83rinteasc%C4%83-ro = supersededTerm-admn-sts
re%C8%9Bea+transeuropean%C4%83+din+domeniul+infrastructurii+de+telecomunica%C8%9Bii-ro = preferredTerm-admn-sts
reflexie+intern%C4%83+total%C4%83-ro = deprecatedTerm-admn-sts
reuniune+plenar%C4%83-ro = supersededTerm-admn-sts
Conferin%C8%9Ba+European%C4%83+a+Mini%C8%99trilor+Transporturilor-ro = supersededTerm-admn-sts
Direc%C8%9Bia+General%C4%83+Personal+%C8%99i+Administra%C8%9Bie-ro = supersededTerm-admn-sts
Grupul+de+contact+%E2%80%9EBalcanii+de+Vest%E2%80%9D-ro = supersededTerm-admn-sts
Grupul+de+lucru+pentru+asisten%C8%9Ba+financiar%C4%83-ro = preferredTerm-admn-sts
bune+practici-ro = preferredTerm-admn-sts
copil+natural-ro = supersededTerm-admn-sts
guvern+favorabil+incluziunii-ro = preferredTerm-admn-sts
instrument+de+hedging-ro = preferredTerm-admn-sts
interesul+major+al+copilului-ro = deprecatedTerm-admn-sts
opozi%C8%9Bie-ro = preferredTerm-admn-sts
p%C4%83s%C4%83ri+de+curte-ro = preferredTerm-admn-sts
viz%C4%83+de+tip+B-ro = admittedTerm-admn-sts
Lugansk-ro = preferredTerm-admn-sts
TOM-ro = supersededTerm-admn-sts
bacalao-ro = preferredTerm-admn-sts
c%C4%83rbune+de+lemn+din+biomas%C4%83-ro = preferredTerm-admn-sts
criminalitate+interna%C8%9Bional%C4%83-ro = preferredTerm-admn-sts
declararea+sosirii-ro = admittedTerm-admn-sts
dezastru+natural-ro = preferredTerm-admn-sts
garan%C8%9Bii+privind+mijloacele+de+%C3%AEntoarcere-ro = admittedTerm-admn-sts
indicator+al+vitezei+de+gira%C8%9Bie-ro = preferredTerm-admn-sts
instala%C8%9Bie+de+producere+a+energiei+electrice-ro = preferredTerm-admn-sts
loc+de+munc%C4%83+verde-ro = preferredTerm-admn-sts
organism+european+de+standardizare-ro = supersededTerm-admn-sts
pachet+de+%C8%99ase+propuneri+legislative-ro = supersededTerm-admn-sts
prestare+de+servicii+transna%C8%9Bionale-ro = admittedTerm-admn-sts
remunera%C8%9Bie+compensatorie+pentru+copia+privat%C4%83-ro = preferredTerm-admn-sts
retroactivitatea+efectelor+nulit%C4%83%C8%9Bii+c%C4%83s%C4%83toriei-ro = preferredTerm-admn-sts
serviciu+video+%C3%AEn+reluare-ro = preferredTerm-admn-sts
ton+cu+aripioare+galbene-ro = preferredTerm-admn-sts
Agen%C8%9Bia+Executiv%C4%83+pentru+Energie+Inteligent%C4%83-ro = supersededTerm-admn-sts
Confedera%C8%9Bia+European%C4%83+a+Industriilor+Fierului+%C8%99i+O%C8%9Belului-ro = supersededTerm-admn-sts
Direc%C8%9Bia+2+-+Competitivitate%2C+Strategia+de+la+Lisabona%2C+Industrie%2C+Cercetare+%28Politici+ale+UE%2C+inclusiv+aspectele+interna%C8%9Bionale%29%2C+Societatea+informa%C8%9Bional%C4%83+%C8%99i+Comunica%C8%9Bii+electronice-ro = supersededTerm-admn-sts
EAHC-ro = supersededTerm-admn-sts
Grupul+%E2%80%9ESalaria%C8%9Bi%E2%80%9D-ro = deprecatedTerm-admn-sts
Misiunea+Organiza%C8%9Biei+Na%C8%9Biunilor+Unite+%C3%AEn+Republica+Democrat%C4%83+Congo-ro = supersededTerm-admn-sts
Oficiul+pentru+Publica%C8%9Bii+Oficiale+al+Comunit%C4%83%C8%9Bilor+Europene-ro = supersededTerm-admn-sts
Procesul+de+la+Barcelona%3A+Uniunea+pentru+Mediterana-ro = supersededTerm-admn-sts
acidificarea+oceanelor-ro = preferredTerm-admn-sts
acreditive-ro = preferredTerm-admn-sts
comisar+pentru+afaceri+economice+%C8%99i+monetare-ro = supersededTerm-admn-sts
efect+inotropic+pozitiv-ro = preferredTerm-admn-sts
scaden%C8%9B%C4%83-ro = preferredTerm-admn-sts
securitate+%C8%99i+s%C4%83n%C4%83tate+%C3%AEn+munc%C4%83-ro = preferredTerm-admn-sts
viz%C4%83+de+scurt%C4%83+%C8%99edere-ro = preferredTerm-admn-sts
viz%C4%83+de+tip+D-ro = admittedTerm-admn-sts
%C3%AEndep%C4%83rtare-ro = preferredTerm-admn-sts
Agen%C8%9Bia+Rom%C3%A2n%C4%83+pentru+Investi%C8%9Bii+Str%C4%83ine-ro = supersededTerm-admn-sts
Comisia+EDUC-ro = supersededTerm-admn-sts
Consiliul+Regiunilor+Europene-ro = supersededTerm-admn-sts
Conven%C8%9Bia+european%C4%83+pentru+protec%C8%9Bia+minorit%C4%83%C8%9Bilor+na%C8%9Bionale-ro = supersededTerm-admn-sts
DG+C-ro = supersededTerm-admn-sts
Directiva+privind+standardele+minime+cu+privire+la+procedurile+din+statele+membre+de+acordare+%C8%99i+retragere+a+statutului+de+refugiat-ro = supersededTerm-admn-sts
Masa+regional%C4%83+a+Pactului+de+Stabilitate-ro = supersededTerm-admn-sts
Oficiul+Rom%C3%A2n+pentru+Imigr%C4%83ri-ro = supersededTerm-admn-sts
Partidul+Liberal+Democrat-ro = supersededTerm-admn-sts
RSUE+pentru+Sudan-ro = supersededTerm-admn-sts
Republica+Ungar%C4%83-ro = supersededTerm-admn-sts
bilete+la+ordin-ro = preferredTerm-admn-sts
eten%C4%83-ro = preferredTerm-admn-sts
fraz%C4%83+de+precau%C8%9Bie-ro = preferredTerm-admn-sts
hublou-ro = preferredTerm-admn-sts
motonav%C4%83+tanc-ro = preferredTerm-admn-sts
pagel+argintiu-ro = preferredTerm-admn-sts
plant%C4%83-mam%C4%83-ro = preferredTerm-admn-sts
reciprocitatea+riscurilor-ro = preferredTerm-admn-sts
restructurare+datorat%C4%83+dificult%C4%83%C8%9Bilor+financiare-ro = preferredTerm-admn-sts
sparid-ro = preferredTerm-admn-sts
viz%C4%83+de+c%C4%83l%C4%83torie-ro = admittedTerm-admn-sts
vot+prin+internet-ro = preferredTerm-admn-sts
za+terminal%C4%83-ro = preferredTerm-admn-sts
%C8%9Bar%C4%83+%C3%AEn+curs+de+aderare-ro = preferredTerm-admn-sts
CCA-ro = supersededTerm-admn-sts
Direc%C8%9Bia+2A+-+Protocol+%C8%99i+conferin%C8%9Be-ro = supersededTerm-admn-sts
EUNAVFOR+MED-ro = supersededTerm-admn-sts
Grupul+de+lucru+ad-hoc+pentru+Institutul+European+de+Tehnologie+%28IET%29-ro = supersededTerm-admn-sts
Grupul+de+lucru+ad-hoc+pentru+strategia+comun%C4%83+UE-Africa-ro = supersededTerm-admn-sts
Oficiul+de+Statistic%C4%83+al+Comunit%C4%83%C8%9Bilor+Europene-ro = supersededTerm-admn-sts
cheltuieli+de+procedur%C4%83-ro = supersededTerm-admn-sts
curs+de+schimb-ro = preferredTerm-admn-sts
faz%C4%83+de+induc%C8%9Bie-ro = preferredTerm-admn-sts
hart%C4%83+de+hazard+la+inunda%C8%9Bii-ro = admittedTerm-admn-sts
legiuitor+comunitar-ro = supersededTerm-admn-sts
misiunea+Uniunii+Europene+referitoare+la+consolidarea+capacit%C4%83%C8%9Bilor+maritime+regionale+%C3%AEn+statele+din+Cornul+Africii-ro = supersededTerm-admn-sts
moned%C4%83+numismatic%C4%83-ro = preferredTerm-admn-sts
pre%C8%9Bul+CIF+la+frontiera+comunitar%C4%83%2C+%C3%AEnainte+de+v%C4%83muire-ro = supersededTerm-admn-sts
reflux+gastro-esofagian-ro = preferredTerm-admn-sts
societate+anonim%C4%83-ro = supersededTerm-admn-sts
%C3%AEnc%C4%83pere+de+c%C4%83ld%C4%83ri-ro = preferredTerm-admn-sts
DG+H-ro = supersededTerm-admn-sts
Grupul+de+lucru+pentru+aplicarea+unor+m%C4%83suri+specifice+de+combatere+a+terorismului-ro = supersededTerm-admn-sts
PESA-ro = supersededTerm-admn-sts
contor+de+ap%C4%83-ro = preferredTerm-admn-sts
cromatografie+%C3%AEn+faz%C4%83+lichid%C4%83-ro = preferredTerm-admn-sts
deplasament+ne%C3%AEnc%C4%83rcat-ro = supersededTerm-admn-sts
encefalita+japonez%C4%83-ro = preferredTerm-admn-sts
flexicuritate-ro = preferredTerm-admn-sts
handicap+senzorial-ro = deprecatedTerm-admn-sts
hart%C4%83+de+inundabilitate-ro = preferredTerm-admn-sts
m%C4%83rfuri+comunitare-ro = supersededTerm-admn-sts
motor+turboventilator-ro = preferredTerm-admn-sts
munc%C4%83+nedeclarat%C4%83-ro = preferredTerm-admn-sts
prob%C4%83+prelevat%C4%83+%C3%AEn+mod+continuu+%C3%AEntr-un+interval+de+timp+determinat-ro = preferredTerm-admn-sts
rezerv%C4%83+disponibil%C4%83+rapid-ro = supersededTerm-admn-sts
sistem+generalizat+de+preferin%C8%9Be-ro = preferredTerm-admn-sts
sustenabilitatea+finan%C8%9Belor+publice-ro = preferredTerm-admn-sts
voievodat-ro = preferredTerm-admn-sts
Chestiuni+politice+generale+%C8%99i+rela%C8%9Bii+interinstitu%C8%9Bionale-ro = supersededTerm-admn-sts
Comitetul+de+monitorizare+UE-SUA-ro = supersededTerm-admn-sts
Direc%C8%9Bia+General%C4%83+Afaceri+Interne-ro = supersededTerm-admn-sts
Registrul+European+al+Poluantilor+Emisi-ro = preferredTerm-admn-sts
Statutul+func%C8%9Bionarilor+Comunit%C4%83%C8%9Bilor+Europene+%C8%99i+Regimul+aplicabil+celorlal%C8%9Bi+agen%C8%9Bi+ai+Comunit%C4%83%C8%9Bilor+Europene-ro = supersededTerm-admn-sts
ac%C8%9Biuni+sau+unit%C4%83%C8%9Bi+ale+fondurilor+de+investi%C8%9Bii-ro = preferredTerm-admn-sts
avans-ro = preferredTerm-admn-sts
camer%C4%83+de+v%C3%A2rtej-ro = preferredTerm-admn-sts
clorinare-ro = preferredTerm-admn-sts
control+asupra+unui+activ-ro = supersededTerm-admn-sts
macrou+de+Pacific-ro = preferredTerm-admn-sts
marc%C4%83+comunitar%C4%83-ro = supersededTerm-admn-sts
principiul+deschiderii-ro = preferredTerm-admn-sts
produs+de+protec%C8%9Bie+a+plantelor-ro = preferredTerm-admn-sts
sebast%C4%83+de+ad%C3%A2nc-ro = preferredTerm-admn-sts
viz%C4%83+de+tip+A-ro = admittedTerm-admn-sts
%C8%99lep+tanc-ro = preferredTerm-admn-sts
Comitetul+Politic+%C8%99i+de+Securitate+interimar-ro = supersededTerm-admn-sts
Comitetul+de+securitate+%5BINFOSEC+-+autorit%C4%83%C8%9Bi+de+autorizare+calificate+%28AQUA%29%5D-ro = supersededTerm-admn-sts
Conven%C8%9Bia+primarilor-ro = preferredTerm-admn-sts
Directiva+de+stabilire+a+standardelor+minime+pentru+primirea+solicitan%C8%9Bilor+de+azil+%C3%AEn+statele+membre-ro = supersededTerm-admn-sts
Tratatul+de+la+Marrakesh+pentru+facilitarea+accesului+la+operele+publicate+al+persoanelor+nev%C4%83z%C4%83toare%2C+cu+deficien%C8%9Be+de+vedere+sau+cu+dificult%C4%83%C8%9Bi+de+citire+a+materialelor+imprimate-ro = preferredTerm-admn-sts
cel%C8%9Biu-ro = supersededTerm-admn-sts
centru+de+caren%C4%83-ro = preferredTerm-admn-sts
cerere+de+sesizare+a+Cur%C8%9Bii-ro = supersededTerm-admn-sts
condi%C8%9Bie+de+intrare+pe+teritoriu-ro = admittedTerm-admn-sts
drept+de+import-ro = deprecatedTerm-admn-sts
fonduri+proprii+de+nivel+1-ro = preferredTerm-admn-sts
sistem+de+aeronave+f%C4%83r%C4%83+pilot+la+bord-ro = preferredTerm-admn-sts
Anul+european+al+%C3%AEmb%C4%83tr%C3%A2nirii+active+%C8%99i+solidarit%C4%83%C8%9Bii+%C3%AEntre+genera%C8%9Bii-ro = preferredTerm-admn-sts
Observatorul+European+al+Fenomenelor+Rasiste+%C8%99i+Xenofobe-ro = supersededTerm-admn-sts
Serviciul+de+s%C4%83n%C4%83tate+%C8%99i+securitate-ro = supersededTerm-admn-sts
brosme-ro = preferredTerm-admn-sts
camer%C4%83+jurisdic%C8%9Bional%C4%83-ro = supersededTerm-admn-sts
credit+pe+termen+scurt-ro = preferredTerm-admn-sts
diferen%C8%9Be+de+conversie+cumulate-ro = supersededTerm-admn-sts
folosirea+st%C4%83rii+civile-ro = supersededTerm-admn-sts
regimul+comunit%C4%83%C8%9Bii+legale-ro = preferredTerm-admn-sts
wolfram-ro = preferredTerm-admn-sts
DG+Ajutor+Umanitar+%C8%99i+Protec%C8%9Bie+Civil%C4%83-ro = supersededTerm-admn-sts
GMES-ro = supersededTerm-admn-sts
Grupul+de+lucru+pentru+servicii+financiare+%28solvabilitate+II%29-ro = supersededTerm-admn-sts
Grupul+de+studiu+permanent+privind+coordonarea+politicilor+economice-ro = supersededTerm-admn-sts
VTA-ro = admittedTerm-admn-sts
bun+f%C4%83r%C4%83+st%C4%83p%C3%A2n-ro = preferredTerm-admn-sts
cheltuieli+recuperabile-ro = supersededTerm-admn-sts
evaluare+bazat%C4%83+pe+cost-ro = supersededTerm-admn-sts
gr%C3%A2u+comun-ro = preferredTerm-admn-sts
moartea+unuia+dintre+so%C8%9Bi-ro = supersededTerm-admn-sts
noradrenalin%C4%83-ro = preferredTerm-admn-sts
refuzul+intr%C4%83rii-ro = admittedTerm-admn-sts
repartizarea+cheltuielilor+de+judecat%C4%83-ro = supersededTerm-admn-sts
resortisant+al+unei+%C8%9B%C4%83ri+ter%C8%9Be-ro = preferredTerm-admn-sts
tipologia+comunitar%C4%83+pentru+exploata%C8%9Biile+agricole-ro = supersededTerm-admn-sts
%C3%AEntoarcere+voluntar%C4%83-ro = admittedTerm-admn-sts
%C8%99tiuc%C4%83-ro = preferredTerm-admn-sts
Centrul+European+de+Economie+Interna%C8%9Bional%C4%83-ro = supersededTerm-admn-sts
Confedera%C8%9Bia+European%C4%83+a+Industriilor+Siderurgice-ro = supersededTerm-admn-sts
DG+Ajutor+Umanitar-ro = supersededTerm-admn-sts
For%C8%9Ba+multina%C8%9Bional%C4%83+a+Comunit%C4%83%C8%9Bii+Economice+%C8%99i+Monetare+a+Africii+Centrale-ro = supersededTerm-admn-sts
Schimb+Terminologic+%C3%AEntre+Agen%C8%9Bii-ro = supersededTerm-admn-sts
adop%C8%9Bie+cu+efecte+restr%C3%A2nse-ro = supersededTerm-admn-sts
diminuare+a+stratului+de+ozon-ro = preferredTerm-admn-sts
legisla%C8%9Bie+comunitar%C4%83-ro = supersededTerm-admn-sts
merluciu-ro = preferredTerm-admn-sts
operarea+sistemelor+alternative+de+tranzac%C8%9Bionare-ro = preferredTerm-admn-sts
parte+care+renun%C8%9B%C4%83+la+judecat%C4%83-ro = supersededTerm-admn-sts
stabilitate+%C3%AEn+caz+de+avarie-ro = admittedTerm-admn-sts
ununhexiu-ro = supersededTerm-admn-sts
viz%C4%83+de+%C8%99edere+de+scurt%C4%83+durat%C4%83-ro = admittedTerm-admn-sts
viz%C4%83+de+tip+C-ro = admittedTerm-admn-sts
Biroul+pentru+acorduri-ro = supersededTerm-admn-sts
Grupul+de+lucru+pentru+chestiuni+financiare-ro = supersededTerm-admn-sts
Pactul+pentru+euro-ro = supersededTerm-admn-sts
Protocolul+anexat+la+Tratatul+privind+Uniunea+European%C4%83+%C8%99i+la+tratatele+de+instituire+a+Comunit%C4%83%C8%9Bilor+Europene.-ro = supersededTerm-admn-sts
Protocolul+privind+articolul+141+din+Tratatul+de+instituire+a+Comunit%C4%83%C8%9Bii+Europene-ro = supersededTerm-admn-sts
Uniunea+Myanmar-ro = supersededTerm-admn-sts
aparat+de+trac%C8%9Biune-ro = preferredTerm-admn-sts
aplica%C8%9Bia+de+gestionare+integrat%C4%83+a+return%C4%83rilor-ro = supersededTerm-admn-sts
cec-ro = preferredTerm-admn-sts
gastroenterit%C4%83+eroziv%C4%83-ro = supersededTerm-admn-sts
procedur%C4%83+de+licita%C8%9Bie+restr%C3%A2ns%C4%83-ro = preferredTerm-admn-sts
regim+de+solvabilitate-ro = preferredTerm-admn-sts
CES-ro = supersededTerm-admn-sts
Comision+de+rascumparare-ro = preferredTerm-admn-sts
Comitetul+pentru+chestiuni+de+drept+civil-ro = supersededTerm-admn-sts
Cooperarea+european%C4%83+%C3%AEn+domeniul+cercet%C4%83rii+%C8%99tiin%C8%9Bifice+%C8%99i+tehnice-ro = supersededTerm-admn-sts
Direc%C8%9Bia+1-+Agricultur%C4%83+%28CSA-+Comitetul+special+pentru+agricultur%C4%83%29-ro = supersededTerm-admn-sts
EUCAP+NESTOR-ro = supersededTerm-admn-sts
Grupul+%E2%80%9ECriza+industriei+auto%E2%80%9D-ro = supersededTerm-admn-sts
Securitate%2C+siguran%C8%9B%C4%83+%C8%99i+sisteme+de+comunica%C8%9Bii+%C8%99i+informa%C8%9Bii-ro = supersededTerm-admn-sts
TPI-ro = supersededTerm-admn-sts
certificat+de+omologare+CE+de+tip-ro = supersededTerm-admn-sts
debitorul+de+%C3%AEntre%C8%9Binere-ro = deprecatedTerm-admn-sts
formule+de+continuare-ro = preferredTerm-admn-sts
hering+nordic-ro = preferredTerm-admn-sts
infec%C8%9Bie+cu+Marteilia+refringens-ro = preferredTerm-admn-sts
infec%C8%9Bie+cu+virusul+bolii+limbii+albastre-ro = preferredTerm-admn-sts
nodul+limfatic-ro = preferredTerm-admn-sts
opunere+la+c%C4%83s%C4%83torie-ro = supersededTerm-admn-sts
plan+de+gestionare+a+riscurilor+fitosanitare-ro = supersededTerm-admn-sts
supraveghere+a+liniei+de+frontier%C4%83-ro = admittedTerm-admn-sts
termen+de+%C3%AEntoarcere+voluntar%C4%83-ro = admittedTerm-admn-sts
Agen%C8%9Bia+IT-ro = supersededTerm-admn-sts
Biroul+de+Coordonare+al+Uniunii+Europene+pentru+Sprijinirea+Poli%C8%9Biei+Palestiniene-ro = supersededTerm-admn-sts
Comitetul+de+securitate+%28Asigurarea+informa%C8%9Biilor+-+exper%C8%9Bi%29-ro = supersededTerm-admn-sts
EASp-ro = supersededTerm-admn-sts
Instrumentul+destinat+Turciei-ro = admittedTerm-admn-sts
asm%C4%83%C8%9Bui-ro = preferredTerm-admn-sts
cazan+cu+func%C8%9Bionare+pe+biomas%C4%83-ro = preferredTerm-admn-sts
comitologie-ro = deprecatedTerm-admn-sts
consort-ro = supersededTerm-admn-sts
contract+de+concesiune-ro = preferredTerm-admn-sts
filia%C8%9Bie+legitim%C4%83-ro = supersededTerm-admn-sts
gestionare+integrat%C4%83+a+frontierelor-ro = admittedTerm-admn-sts
obliga%C8%9Biune+r%C4%83scump%C4%83rat%C4%83-ro = preferredTerm-admn-sts
produs+de+investi%C8%9Bii+bazat+pe+asigur%C4%83ri-ro = preferredTerm-admn-sts
Comitetul+pentru+etichetare+ecologic%C4%83+al+Uniunii+Europene-ro = preferredTerm-admn-sts
Departamentul+ONU+pentru+Afaceri+Umanitare-ro = supersededTerm-admn-sts
Direc%C8%9Bia+2+-+Cooperare+judiciar%C4%83+%C3%AEn+materie+civil%C4%83+%C8%99i+penal%C4%83%2C+poli%C8%9Bieneasc%C4%83+%C8%99i+vamal%C4%83-ro = supersededTerm-admn-sts
Direc%C8%9Bia+2+-+Transparen%C8%9B%C4%83-ro = supersededTerm-admn-sts
Foaie+de+parcurs+pentru+trecerea+la+o+economie+competitiv%C4%83+cu+emisii+sc%C4%83zute+de+dioxid+de+carbon+p%C3%A2n%C4%83+%C3%AEn+2050-ro = preferredTerm-admn-sts
Grupul+de+lucru+pentru+dreptul+societ%C4%83%C8%9Bilor+comerciale+%28contabilitate+-+audit+legal%29-ro = supersededTerm-admn-sts
Grupul+de+lucru+pentru+servicii+financiare+%28institu%C8%9Bii+emitente+de+moned%C4%83+electronic%C4%83%29-ro = supersededTerm-admn-sts
Strategia+Europa+2020-ro = preferredTerm-admn-sts
abandonul+noului-n%C4%83scut-ro = preferredTerm-admn-sts
comand%C4%83+bona+fide-ro = preferredTerm-admn-sts
complet+de+judecat%C4%83+obi%C8%99nuit-ro = supersededTerm-admn-sts
termene+%C8%99i+condi%C8%9Bii-ro = preferredTerm-admn-sts
Comitetul+articolului+133-ro = supersededTerm-admn-sts
Consiliul+Educa%C8%9Bie%2C+Tineret+%C8%99i+Cultur%C4%83-ro = supersededTerm-admn-sts
