%C8%99pag%C4%83-ro = admittedTerm-admn-sts
Comitetul+articolului+133+-+exper%C8%9Bi+%28STIS%2C+servicii%2C+recunoa%C8%99tere+reciproc%C4%83%29-ro = supersededTerm-admn-sts
DG+Afaceri+Interne-ro = supersededTerm-admn-sts
Direc%C8%9Bia+general%C4%83+C+-+Competitivitate%2C+inovare+%C8%99i+cercetare%2C+industrie+%C8%99i+societatea+informa%C8%9Bional%C4%83%2C+pia%C8%9B%C4%83+intern%C4%83%2C+concuren%C8%9B%C4%83+%C8%99i+chestiuni+vamale%2C+transporturi%2C+energie-ro = supersededTerm-admn-sts
Grupul+de+lucru+ad-hoc+pentru+criterii+de+durabilitate+pentru+biocarburan%C8%9Bi-ro = supersededTerm-admn-sts
Grupul+de+sprijin+ad-hoc+JAI-RELEX-ro = supersededTerm-admn-sts
Jabhat+al-Nusra-ro = supersededTerm-admn-sts
Pactul+primarilor-ro = deprecatedTerm-admn-sts
Protocolul+privind+importurile+%C3%AEn+Comunitatea+European%C4%83+de+produse+petroliere+rafinate+%C3%AEn+Antilele+olandeze-ro = supersededTerm-admn-sts
Serviciul+de+prevenire+%C3%AEn+materie+de+s%C4%83n%C4%83tate+%C8%99i+siguran%C8%9B%C4%83+la+locul+de+munc%C4%83-ro = supersededTerm-admn-sts
autoriza%C8%9Bie+care+confer%C4%83+un+drept+de+%C8%99edere-ro = admittedTerm-admn-sts
biocenoz%C4%83-ro = preferredTerm-admn-sts
boala+Alzheimer-ro = preferredTerm-admn-sts
bugetul+Comunit%C4%83%C8%9Bii-ro = supersededTerm-admn-sts
condi%C8%9Bie+de+intrare-ro = admittedTerm-admn-sts
consiliu+consultativ+regional-ro = supersededTerm-admn-sts
motiv+%C3%AEntemeiat-ro = supersededTerm-admn-sts
pedeaps%C4%83+alternativ%C4%83-ro = preferredTerm-admn-sts
plecare+voluntar%C4%83-ro = preferredTerm-admn-sts
procedura+oral%C4%83-ro = supersededTerm-admn-sts
rinotraheita+infec%C8%9Bioas%C4%83+bovin%C4%83-ro = deprecatedTerm-admn-sts
stabilitate+de+avarie-ro = preferredTerm-admn-sts
CIREA-ro = supersededTerm-admn-sts
Comitetul+articolului+36-ro = supersededTerm-admn-sts
Departamentul+pentru+Afaceri+Umanitare-ro = supersededTerm-admn-sts
Organiza%C8%9Bia+pentru+educarea+%C8%99i+bun%C4%83starea+de%C8%9Binu%C8%9Bilor-ro = supersededTerm-admn-sts
Panama+Papers-ro = preferredTerm-admn-sts
Sistemul+european+de+supraveghere+a+rezisten%C8%9Bei+la+produse+antimicrobiene-ro = supersededTerm-admn-sts
abordarea+bazat%C4%83+pe+costul+curent-ro = supersededTerm-admn-sts
comun%C4%83-ro = preferredTerm-admn-sts
exonerare+de+viz%C4%83-ro = admittedTerm-admn-sts
merlan-ro = preferredTerm-admn-sts
p%C3%A2r%C3%A2t+chemat+%C3%AEn+judecat%C4%83+%C3%AEn+conformitate+cu+procedura-ro = supersededTerm-admn-sts
rat%C4%83+de+conversie-ro = supersededTerm-admn-sts
stat+membru+de+primire-ro = admittedTerm-admn-sts
stavrid-ro = preferredTerm-admn-sts
substan%C8%9B%C4%83+care+afecteaz%C4%83+stratul+de+ozon-ro = admittedTerm-admn-sts
transversalul+planului+de+forme-ro = preferredTerm-admn-sts
CEEUE-ro = preferredTerm-admn-sts
Cod+comunitar+privind+regimul+de+trecere+a+frontierelor+de+c%C4%83tre+persoane-ro = supersededTerm-admn-sts
Consiliul+Mondial+al+Popoarelor+Indigene-ro = supersededTerm-admn-sts
Direc%C8%9Bia+2+-+Pescuit%2C+lan%C8%9Bul+alimentar+%C8%99i+chestiuni+veterinare-ro = supersededTerm-admn-sts
ESMA-ro = preferredTerm-admn-sts
EuropeAid-ro = supersededTerm-admn-sts
ameliorarea+animalelor-ro = preferredTerm-admn-sts
biroul+sec%C8%9Biunii-ro = preferredTerm-admn-sts
brevet+comunitar-ro = supersededTerm-admn-sts
calcan-ro = preferredTerm-admn-sts
cheie+de+subscriere+la+capitalul+B%C4%83ncii+Centrale+Europene-ro = admittedTerm-admn-sts
costul+unei+achizi%C8%9Bii-ro = supersededTerm-admn-sts
deprivare+material%C4%83-ro = preferredTerm-admn-sts
drept+la+rezerva+succesoral%C4%83-ro = preferredTerm-admn-sts
guvern+integrator-ro = admittedTerm-admn-sts
halibut+de+Atlantic-ro = preferredTerm-admn-sts
jammer-ro = preferredTerm-admn-sts
pagel+auriu-ro = preferredTerm-admn-sts
siguran%C8%9B%C4%83+%C3%AEn+func%C8%9Bionare-ro = preferredTerm-admn-sts
societate+a+abunden%C8%9Bei-ro = preferredTerm-admn-sts
vaccin+recombinat-ro = preferredTerm-admn-sts
dovada+mijloacelor+de+subzisten%C8%9B%C4%83+suficiente-ro = admittedTerm-admn-sts
epurarea+apelor+uzate-ro = preferredTerm-admn-sts
politica+european%C4%83+de+securitate+%C8%99i+ap%C4%83rare+comun%C4%83-ro = supersededTerm-admn-sts
%C3%AEnfiere-ro = supersededTerm-admn-sts
%C8%9Bar%C4%83+de+origine-ro = preferredTerm-admn-sts
DG+Personal+%C8%99i+Administra%C8%9Bie-ro = supersededTerm-admn-sts
Direc%C8%9Bia+General%C4%83+Ajutor+Umanitar-ro = supersededTerm-admn-sts
