%C4%8Birkwit+lokali-mt = preferredTerm-admn-sts
%C4%A7abitat-mt = preferredTerm-admn-sts
%C4%A7in+kumulattiv+tas-sewqan-mt = admittedTerm-admn-sts
A%C4%A1enzija+Ewropea+dwar+is-Sigurt%C3%A0+tan-Networks+u+l-Informazzjoni-mt = supersededTerm-admn-sts
Applikazzjoni+tal-%C4%A0estjoni+Integrata+tar-Ritorni+tal-UE-mt = supersededTerm-admn-sts
Dan+ir-Regolament+g%C4%A7andu+jorbot+fl-intier+tieg%C4%A7u+u+japplika+direttament+fl-Istati+Membri+kollha+skont+it-Trattat+li+jistabbilixxi+l-Komunit%C3%A0+Ewropea-mt = supersededTerm-admn-sts
It-Tribunal+g%C4%A7as-Servizz+Pubbliku+tal-Unjoni+Ewropea-mt = supersededTerm-admn-sts
Kumitat+tal-Artikolu+133+%28Membri+S%C4%A7a%C4%A7%29-mt = supersededTerm-admn-sts
Kunsill+Konsultattiv+Re%C4%A1jonali+g%C4%A7all-flotta+tal-ib%C4%A7ra+internazzjonali+%2F+distanzi+twal-mt = supersededTerm-admn-sts
Qafas+Ewropew+tal-Kwalifiki-mt = preferredTerm-admn-sts
Sirja+u+Iraq%3A+strate%C4%A1ija+tal-UE+kontra+t-terrori%C5%BCmu+u+l-%C4%A1ellieda+barranin-mt = supersededTerm-admn-sts
Sottokummissjoni+g%C4%A7all-Promozzjoni+u+l-%C4%A6arsien+tad-Drittijiet+tal-Bniedem-mt = supersededTerm-admn-sts
Trattat+ta%27+Marrakexx-mt = admittedTerm-admn-sts
ammont+riportat-mt = preferredTerm-admn-sts
bisbula+kbira-mt = preferredTerm-admn-sts
bond+a%C4%A7dar-mt = preferredTerm-admn-sts
derivat+stand-alone-mt = admittedTerm-admn-sts
dritt+ta%E2%80%99+a%C4%8B%C4%8Bess-mt = preferredTerm-admn-sts
entit%C3%A0+omm+intermedja+jew+finali-mt = preferredTerm-admn-sts
flotazzjoni+bil-gass+indott-mt = preferredTerm-admn-sts
frekwenza+tal-ksib-mt = preferredTerm-admn-sts
g%C4%A7afsa%28iet%29+tal-brejk-mt = deprecatedTerm-admn-sts
gas+bubbler-mt = admittedTerm-admn-sts
impri%C5%BCa+omm-mt = preferredTerm-admn-sts
inkorporazzjoni-mt = preferredTerm-admn-sts
konkubin-mt = preferredTerm-admn-sts
kontestament+tad-disinn-mt = deprecatedTerm-admn-sts
kumpanija+azzjonarja+finanzjarja+m%C4%A7allta+omm+tal-UE-mt = preferredTerm-admn-sts
mitlaq-mt = preferredTerm-admn-sts
omm+surrogata-mt = preferredTerm-admn-sts
pajji%C5%BC+ta%E2%80%99+ori%C4%A1ini+sigur-mt = preferredTerm-admn-sts
prim+angolat-mt = preferredTerm-admn-sts
pro%C4%8Bedura+kompetittiva+ta%27+tfig%C4%A7+ta%27+offerti-mt = admittedTerm-admn-sts
pro%C4%8Bedura+prijoritarja+ta%E2%80%99+e%C5%BCami+tal-applikazzjoni+g%C4%A7all-a%C5%BCil-mt = preferredTerm-admn-sts
proprjet%C3%A0-mt = deprecatedTerm-admn-sts
resident+g%C4%A7al+%C5%BCmien+twil-mt = preferredTerm-admn-sts
standard+Ewropej+ta%27+emissjoni-mt = admittedTerm-admn-sts
tadam+tal-fosdqa-mt = preferredTerm-admn-sts
tkag%C4%A7bir+bl-u%C5%BCu-mt = preferredTerm-admn-sts
xibka+tat-tkarkir+bil-paranzi-mt = preferredTerm-admn-sts
%C4%8Aentru+ta%27+Anali%C5%BCi+tal-Intelligence+tal-Unjoni+Ewropea-mt = supersededTerm-admn-sts
%C4%8Bertezza+tad-dritt-mt = preferredTerm-admn-sts
%C4%8Bittadin+Komunitarju-mt = supersededTerm-admn-sts
Direttorat-%C4%A0enerali+A+-+Persunal+u+Amministrazzjoni-mt = supersededTerm-admn-sts
Grupp+ta%27+%C4%A6idma+dwar+id-Dritt+tal-Kumpanniji+%28Drittijiet+ta%27+l-Azzjonisti%29-mt = supersededTerm-admn-sts
Grupp+ta%27+%C4%A6idma+ta%27+Livell+G%C4%A7oli+dwar+it-Tassazzjoni-mt = admittedTerm-admn-sts
IET-mt = supersededTerm-admn-sts
Il-Jum+Ewropew+tal-%C4%A0ustizzja+%C4%8Aivili-mt = supersededTerm-admn-sts
Konvenzjoni+Ewropea+dwar+il-protezzjoni+legali+tas-servizzi+bba%C5%BCati+fuq%2C+jew+jikkonsistu+minn%2C+a%C4%8B%C4%8Bess+kondizzjonali-mt = preferredTerm-admn-sts
