%C3%9Amluva+o+ochran%C4%9B+St%C5%99edozemn%C3%ADho+mo%C5%99e+p%C5%99ed+zne%C4%8Di%C5%A1%C5%A5ov%C3%A1n%C3%ADm-cs = supersededTerm-admn-sts
%C5%BE%C3%A1dost+o+mezin%C3%A1rodn%C3%AD+ochranu-cs = preferredTerm-admn-sts
Ad+hoc+pracovn%C3%AD+skupina+pro+Evropsk%C3%BD+technologick%C3%BD+institut+%28EIT%29-cs = supersededTerm-admn-sts
Ans%C3%A1r+Bajt+al-Makdis-cs = supersededTerm-admn-sts
RLS-cs = supersededTerm-admn-sts
Statistick%C3%BD+%C3%BA%C5%99ad+Evropsk%C3%BDch+spole%C4%8Denstv%C3%AD-cs = supersededTerm-admn-sts
cenn%C3%BD+pap%C3%ADr+zaji%C5%A1t%C4%9Bn%C3%BD+hypot%C3%A9kou-cs = preferredTerm-admn-sts
d%C3%A1lkov%C3%BD+prodej-cs = admittedTerm-admn-sts
dialog+o+politice-cs = preferredTerm-admn-sts
dobrovoln%C3%A1+repatriace-cs = admittedTerm-admn-sts
glyceryl-triacet%C3%A1t-cs = deprecatedTerm-admn-sts
nepovinn%C3%A1+%C5%BE%C3%A1dost+o+vypracov%C3%A1n%C3%AD+stanoviska-cs = preferredTerm-admn-sts
ovotransferrin-cs = preferredTerm-admn-sts
referen%C4%8Dn%C3%AD+%C4%8D%C3%ADslo+v%C3%BDvozn%C3%AD+operace-cs = supersededTerm-admn-sts
sign%C3%A1l+p%C5%99i+kalibraci+na+pln%C3%BD+rozsah-cs = preferredTerm-admn-sts
sm%C3%ADrn%C3%A9+urovn%C3%A1n%C3%AD+sporu-cs = supersededTerm-admn-sts
%C5%99editelstv%C3%AD+4+-+zam%C4%9Bstnanost%2C+soci%C3%A1ln%C3%AD+politika%2C+zdrav%C3%AD+a+potraviny-cs = supersededTerm-admn-sts
ES+schv%C3%A1len%C3%AD+typu-cs = supersededTerm-admn-sts
evropsk%C3%A1+spolupr%C3%A1ce+ve+v%C4%9Bdeck%C3%A9m+a+technick%C3%A9m+v%C3%BDzkumu-cs = supersededTerm-admn-sts
