%C3%A1tmen%C5%91+furat-hu = admittedTerm-admn-sts
%C3%B6ngyilkoss%C3%A1gban+val%C3%B3+k%C3%B6zrem%C5%B1k%C3%B6d%C3%A9s-hu = admittedTerm-admn-sts
%C3%BAjrakiviteli+n%C3%B6v%C3%A9ny-eg%C3%A9szs%C3%A9g%C3%BCgyi+bizony%C3%ADtv%C3%A1ny-hu = deprecatedTerm-admn-sts
Baasz+P%C3%A1rt-hu = preferredTerm-admn-sts
EU%E2%80%93Maced%C3%B3nia+Volt+Jugoszl%C3%A1v+K%C3%B6zt%C3%A1rsas%C3%A1g+civil+t%C3%A1rsadalmi+konzultat%C3%ADv+vegyes+bizotts%C3%A1g-hu = admittedTerm-admn-sts
Fiatal+Demokrat%C3%A1k+Sz%C3%B6vets%C3%A9ge-hu = supersededTerm-admn-sts
Foglalkoztat%C3%A1si%2C+Szoci%C3%A1lis+%C3%A9s+Es%C3%A9lyegyenl%C5%91s%C3%A9gi+F%C5%91igazgat%C3%B3s%C3%A1g-hu = supersededTerm-admn-sts
LLLPlatform-hu = admittedTerm-admn-sts
Spitzenkandidat-hu = admittedTerm-admn-sts
Ter%C3%BCletfejleszt%C3%A9s+%C3%A9s+Koh%C3%A9zi%C3%B3+Eur%C3%B3pai+Megfigyel%C5%91+H%C3%A1l%C3%B3zata-hu = deprecatedTerm-admn-sts
Transzatlanti+kapcsolatokat+nyomon+k%C3%B6vet%C5%91+bizotts%C3%A1g-hu = admittedTerm-admn-sts
a+WTO+vizsg%C3%A1l%C3%B3bizotts%C3%A1ga-hu = admittedTerm-admn-sts
a+bev%C3%A1ndorl%C3%A1ssal+%C3%A9s+az+integr%C3%A1ci%C3%B3val+foglalkoz%C3%B3+%C3%A1lland%C3%B3+tanulm%C3%A1nyoz%C3%B3csoportot-hu = admittedTerm-admn-sts
a+kerekekn%C3%A9l+fell%C3%A9p%C5%91+t%C3%A9nyleges+teljes%C3%ADtm%C3%A9ny-hu = admittedTerm-admn-sts
akt%C3%ADv+rep%C3%BCl%C3%A9sir%C3%A1ny%C3%ADt%C3%B3+rendszer-hu = deprecatedTerm-admn-sts
arom%C3%A1s+n%C3%B6v%C3%A9nyek-hu = admittedTerm-admn-sts
az+antibiotikum-rezisztencia+vizsg%C3%A1lat+eur%C3%B3pai+bizotts%C3%A1ga-hu = deprecatedTerm-admn-sts
az+emberi+jogok+el%C5%91mozd%C3%ADt%C3%A1s%C3%A1val+%C3%A9s+v%C3%A9delm%C3%A9vel+foglalkoz%C3%B3+albizotts%C3%A1g-hu = supersededTerm-admn-sts
b%C3%B6l%C3%A9nyf%C5%B1-hu = admittedTerm-admn-sts
brilli%C3%A1nsfekete+PN-hu = preferredTerm-admn-sts
csere%C3%BCgyletre+sz%C3%B3l%C3%B3+opci%C3%B3-hu = preferredTerm-admn-sts
egyszeri+d%C3%B3zis%C3%BA+toxicit%C3%A1s-hu = preferredTerm-admn-sts
el%C3%B6lt%C3%B6lt%C5%91+fegyver-hu = preferredTerm-admn-sts
ellenszolg%C3%A1ltat%C3%A1s+fej%C3%A9ben+v%C3%A9gzett+sz%C3%A1ll%C3%ADt%C3%A1s-hu = preferredTerm-admn-sts
fedezetlen%2C+el%C5%91resorolt%2C+hitelviszonyt+megtestes%C3%ADt%C5%91+instrumentum-hu = preferredTerm-admn-sts
felhaszn%C3%A1l%C3%A1si+ar%C3%A1ny-hu = admittedTerm-admn-sts
glob%C3%A1lis+egyedi+esetazonos%C3%ADt%C3%B3-sz%C3%A1m-hu = preferredTerm-admn-sts
halasztott+akviz%C3%ADci%C3%B3s+k%C3%B6lts%C3%A9gek-hu = deprecatedTerm-admn-sts
hat%C3%A1r+menti+ing%C3%A1z%C3%B3-hu = deprecatedTerm-admn-sts
hitelmin%C5%91s%C3%ADt%C5%91+int%C3%A9zetek+csoportja-hu = preferredTerm-admn-sts
holtteherhat%C3%A1s-hu = preferredTerm-admn-sts
iker-ny%C3%ADlm%C3%A9regb%C3%A9k%C3%A1k-hu = admittedTerm-admn-sts
jelz%C5%91k%C3%A9sz%C3%BCl%C3%A9k-hu = admittedTerm-admn-sts
jogellenesen+tart%C3%B3zkod%C3%B3+k%C3%BClf%C3%B6ldi-hu = preferredTerm-admn-sts
jogosult-hu = admittedTerm-admn-sts
kapcsolaton+alapul%C3%B3+h%C3%A1tr%C3%A1nyos+megk%C3%BCl%C3%B6nb%C3%B6ztet%C3%A9s-hu = admittedTerm-admn-sts
ker%C3%BClet-hu = admittedTerm-admn-sts
keresztdeviz%C3%A1s+kamatswap-%C3%BCgylet-hu = deprecatedTerm-admn-sts
kil%C3%A9ptet%C5%91+szintes+opci%C3%B3-hu = preferredTerm-admn-sts
m%C3%A1sodik+nyelv+tanul%C3%A1sa-hu = admittedTerm-admn-sts
neonat%C3%A1lis+szepszis-hu = preferredTerm-admn-sts
okos+beruh%C3%A1z%C3%A1sok-hu = deprecatedTerm-admn-sts
parap%C3%A1fr%C3%A1nyf%C3%A9l%C3%A9k-hu = admittedTerm-admn-sts
polifarm%C3%A1cia-hu = admittedTerm-admn-sts
r%C3%B6gt%C3%B6nz%C3%B6tt+robban%C3%B3szerkezet-hu = preferredTerm-admn-sts
roamingd%C3%ADj-hu = admittedTerm-admn-sts
szervezeti+strukt%C3%BAra-hu = admittedTerm-admn-sts
t%C3%A9teles+teszt-hu = admittedTerm-admn-sts
t%C3%B6bb+orsz%C3%A1gban+tev%C3%A9kenyked%C5%91+bank-hu = admittedTerm-admn-sts
t%C3%BCneti+gy%C3%B3gyszer-hu = preferredTerm-admn-sts
tart%C3%A1lypark-hu = preferredTerm-admn-sts
v%C3%A9grehajt%C3%A1si+technikai+standard-hu = deprecatedTerm-admn-sts
%E2%80%9EKkv-k%2C+k%C3%A9zm%C5%B1vesek+%C3%A9s+szabadfoglalkoz%C3%A1s%C3%BAak%E2%80%9D+kateg%C3%B3ria-hu = supersededTerm-admn-sts
Biztons%C3%A1gi+Bizotts%C3%A1g+%28biztons%C3%A1gi+akkredit%C3%A1ci%C3%B3s+test%C3%BCletek+%28SAP-ok%29%29-hu = supersededTerm-admn-sts
CMR+Egyezm%C3%A9ny-hu = admittedTerm-admn-sts
CoC-hu = admittedTerm-admn-sts
Eg%C3%A9szs%C3%A9g%C3%BCgyi+%C3%A9s+Biztons%C3%A1gi+Oszt%C3%A1ly-hu = supersededTerm-admn-sts
Jegyz%C5%91k%C3%B6nyv+az+Eur%C3%B3pai+Uni%C3%B3r%C3%B3l+sz%C3%B3l%C3%B3+szerz%C5%91d%C3%A9s+17.+cikk%C3%A9r%C5%91l-hu = supersededTerm-admn-sts
Korm%C3%A1nyzati+Beszerz%C3%A9si+Meg%C3%A1llapod%C3%A1s-hu = deprecatedTerm-admn-sts
Panama-iratok-hu = admittedTerm-admn-sts
Visszat%C3%A9r%C3%A9si+k%C3%A9zik%C3%B6nyv-hu = preferredTerm-admn-sts
a+Nyugat-Balk%C3%A1n+eur%C3%B3pai+integr%C3%A1ci%C3%B3s+perspekt%C3%ADv%C3%A1ja-hu = preferredTerm-admn-sts
adatgazdas%C3%A1g-hu = preferredTerm-admn-sts
az+Eur%C3%B3pai+K%C3%B6z%C3%B6ss%C3%A9gek+Hivatalos+Kiadv%C3%A1nyainak+Hivatala-hu = supersededTerm-admn-sts
az+alapell%C3%A1t%C3%A1s+kapu%C5%91r+szerepe-hu = preferredTerm-admn-sts
bekever%C3%A9si+ar%C3%A1ny-hu = preferredTerm-admn-sts
betegs%C3%A9gfel%C3%BCgyelet-hu = preferredTerm-admn-sts
bottom-up+megk%C3%B6zel%C3%ADt%C3%A9s-hu = admittedTerm-admn-sts
c%C3%A9gnyilv%C3%A1ntart%C3%A1si+sz%C3%A1m-hu = preferredTerm-admn-sts
chilei+arauk%C3%A1ria-hu = preferredTerm-admn-sts
cselleng%C5%91+mozg%C3%A1s-hu = preferredTerm-admn-sts
el%C5%91zetes+k%C3%A9rd%C3%A9s-hu = deprecatedTerm-admn-sts
elemi+adat%C3%A1llom%C3%A1ny-hu = deprecatedTerm-admn-sts
fajlagos+t%C3%BCzel%C5%91anyag-fogyaszt%C3%A1s-hu = admittedTerm-admn-sts
fels%C5%91+vesztes%C3%A9gvisel%C3%A9si+hat%C3%A1r-hu = preferredTerm-admn-sts
felt%C3%B6lt%C5%91d%C5%91+alap-hu = deprecatedTerm-admn-sts
fogyat%C3%A9kkal+%C3%A9l%C5%91+munkav%C3%A1llal%C3%B3-hu = deprecatedTerm-admn-sts
haj%C3%B3r%C3%B3l+m%C5%B1k%C3%B6dtetett+ker%C3%ADt%C5%91h%C3%A1l%C3%B3-hu = preferredTerm-admn-sts
hamis%C3%ADtott+okm%C3%A1ny-hu = preferredTerm-admn-sts
hullad%C3%A9ktermel%C5%91-hu = preferredTerm-admn-sts
jogbiztons%C3%A1g-hu = deprecatedTerm-admn-sts
k%C3%B6telez%C5%91+eur%C3%B3pai+v%C3%A1mtarifa-t%C3%A1j%C3%A9koztat%C3%A1si+rendszer-hu = deprecatedTerm-admn-sts
k%C3%B6zepes+aktivit%C3%A1s%C3%BA+radioakt%C3%ADv+hullad%C3%A9k-hu = preferredTerm-admn-sts
kieg%C3%A9sz%C3%ADt%C5%91+v%C3%A1m%C3%A1ru-nyilatkozat-hu = deprecatedTerm-admn-sts
kifog%C3%A1solt+hat%C3%A1rozat-hu = admittedTerm-admn-sts
kikapcsol%C3%A1s-%C3%B6sszehangol%C3%A1s-hu = preferredTerm-admn-sts
kimutat%C3%A1si+hat%C3%A1r-hu = preferredTerm-admn-sts
kormos+marlin-hu = preferredTerm-admn-sts
