%C5%A1%C4%B7%C4%ABvjot%C4%81+kolonna-lv = deprecatedTerm-admn-sts
patv%C4%93ruma+mekl%C4%93t%C4%81ju+izmitin%C4%81%C5%A1anas+centrs-lv = preferredTerm-admn-sts
sakaru+un+inform%C4%81cijas+sist%C4%93ma-lv = preferredTerm-admn-sts
ununtrijs-lv = supersededTerm-admn-sts
uz%C5%86%C4%93m%C4%93jvalsts-lv = preferredTerm-admn-sts
ANO+Afganist%C4%81nai+paredz%C4%93to+hum%C4%81n%C4%81s+un+ekonomisk%C4%81s+pal%C4%ABdz%C4%ABbas+programmu+koordin%C4%81cijas+birojs-lv = supersededTerm-admn-sts
Asto%C5%86padsmit+valstu+atbru%C5%86o%C5%A1an%C4%81s+komiteja-lv = supersededTerm-admn-sts
ES+R%C4%ABc%C4%ABbas+pl%C4%81ns+cilv%C4%93kties%C4%ABbu+un+demokr%C4%81tijas+jom%C4%81-lv = preferredTerm-admn-sts
ESAC-lv = supersededTerm-admn-sts
Ener%C4%A3%C4%93tikas+un+transporta+%C4%A3ener%C4%81ldirektor%C4%81ts-lv = supersededTerm-admn-sts
Islandes+Republika-lv = deprecatedTerm-admn-sts
Kopienas+siltumn%C4%ABcefekta+g%C4%81zu+emisiju+p%C4%81rskats-lv = supersededTerm-admn-sts
Zieme%C4%BCj%C5%ABras+re%C4%A3ion%C4%81l%C4%81+konsultat%C4%ABv%C4%81+padome-lv = supersededTerm-admn-sts
atkritumu+inciner%C4%81cijas+stacija-lv = preferredTerm-admn-sts
atlikumu+un+pl%C5%ABsmu+korekcija-lv = preferredTerm-admn-sts
citas+kokaugiem+kl%C4%81tas+zemes-lv = preferredTerm-admn-sts
civil%C4%81s+avi%C4%81cijas+dro%C5%A1ums-lv = preferredTerm-admn-sts
datu+izmanto%C5%A1anas+m%C4%93r%C4%B7a+ierobe%C5%BEojuma+princips-lv = preferredTerm-admn-sts
iece%C4%BCo%C5%A1ana+valst%C4%AB-lv = preferredTerm-admn-sts
imigrantu+integr%C4%81cija-lv = admittedTerm-admn-sts
konkubin%C4%81ts-lv = admittedTerm-admn-sts
netradicion%C4%81ls+og%C4%BC%C5%ABde%C5%86radis-lv = preferredTerm-admn-sts
padomdev%C4%93ja+komisija-lv = supersededTerm-admn-sts
riska+dal%C4%AB%C5%A1anas+finan%C5%A1u+meh%C4%81nisms-lv = preferredTerm-admn-sts
sl%C4%ABdr%C4%81de-lv = supersededTerm-admn-sts
slikta+iztur%C4%93%C5%A1an%C4%81s+pret+b%C4%93rnu-lv = admittedTerm-admn-sts
soci%C4%81lais+nodro%C5%A1in%C4%81jums-lv = preferredTerm-admn-sts
Subsah%C4%81ras+%C4%80frika-lv = preferredTerm-admn-sts
%C4%80KK+un+EK+Ministru+padome-lv = supersededTerm-admn-sts
%C4%81ra+gaiss-lv = preferredTerm-admn-sts
Dublinas+II+Regula-lv = supersededTerm-admn-sts
EUNAVFOR+MED-lv = supersededTerm-admn-sts
Eiropas+GNSS+uzraudz%C4%ABbas+iest%C4%81de-lv = supersededTerm-admn-sts
Eiropas+Kopienu+p%C4%81r%C4%93jo+darbinieku+nodarbin%C4%81%C5%A1anas+k%C4%81rt%C4%ABba-lv = supersededTerm-admn-sts
Eiropas+Transporta+t%C4%ABkla+izpilda%C4%A3ent%C5%ABra-lv = supersededTerm-admn-sts
H+%C4%A2D-lv = supersededTerm-admn-sts
KJIA-lv = supersededTerm-admn-sts
Padomes+%C4%A2ener%C4%81lsekretari%C4%81ta+Dro%C5%A1%C4%ABbas+dienests-lv = supersededTerm-admn-sts
Patv%C4%93ruma+un+migr%C4%81cijas+fonds-lv = supersededTerm-admn-sts
Prezidentvalsts+draugu+grupa+%28daudzgadu+finan%C5%A1u+sh%C4%93mas+p%C4%81rskat%C4%AB%C5%A1ana%2Fp%C4%81rstr%C4%81de%29-lv = supersededTerm-admn-sts
Samierin%C4%81%C5%A1anas+komiteja-lv = preferredTerm-admn-sts
Vienot%C4%81+TKO+regula-lv = deprecatedTerm-admn-sts
atvasin%C4%81tais+minim%C4%81l%C4%81s+ietekmes+l%C4%ABmenis-lv = preferredTerm-admn-sts
balsu+vair%C4%81kums-lv = preferredTerm-admn-sts
da%C4%BC%C4%93ji+atrisin%C4%81t+lietas+b%C5%ABt%C4%ABbu-lv = preferredTerm-admn-sts
ekonomikas+p%C4%81rvald%C4%ABba-lv = preferredTerm-admn-sts
grup%C4%93jums+%22Ansar+Bait+al+Maqdis+%22-lv = supersededTerm-admn-sts
kop%C4%93%C5%A1ana+priv%C4%81t%C4%81m+vajadz%C4%ABb%C4%81m-lv = preferredTerm-admn-sts
m%C4%ABtnesvietas+mai%C5%86a-lv = deprecatedTerm-admn-sts
main%C4%81ms+kravas+nodal%C4%ABjums-lv = admittedTerm-admn-sts
p%C4%81rvietojums-lv = preferredTerm-admn-sts
prim%C4%81ti%2C+kas+nav+cilv%C4%93kveid%C4%ABgie+prim%C4%81ti-lv = deprecatedTerm-admn-sts
procentpunkti-lv = preferredTerm-admn-sts
repo+dar%C4%ABjums-lv = preferredTerm-admn-sts
sa%C5%A1%C5%ABta+n%C4%81trija+CMC-lv = deprecatedTerm-admn-sts
students%2C+kur%C5%A1+ir+%C4%81rzemnieks-lv = preferredTerm-admn-sts
ties%C4%ABbas+uz+nodarbin%C4%81t%C4%ABbu-lv = preferredTerm-admn-sts
uztur%C4%93%C5%A1an%C4%81s%2C+kas+nep%C4%81rsniedz+tr%C4%ABs+m%C4%93ne%C5%A1us-lv = preferredTerm-admn-sts
uztur%C4%93%C5%A1an%C4%81s+%C4%81rst%C4%93%C5%A1an%C4%81s+nol%C5%ABk%C4%81-lv = preferredTerm-admn-sts
z%C4%ABda+lutj%C4%81nzivs-lv = preferredTerm-admn-sts
zvejas+liegums+re%C4%81llaik%C4%81-lv = deprecatedTerm-admn-sts
Kop%C4%93jais+lauksaimniec%C4%ABbas+augu+%C5%A1%C4%B7ir%C5%86u+katalogs-lv = preferredTerm-admn-sts
P%C4%A2S+Dro%C5%A1%C4%ABbas+dienests-lv = supersededTerm-admn-sts
Protokols%2C+ar+ko+iek%C4%BCauj+%C5%A0engenas+acquis+Eiropas+Savien%C4%ABbas+sist%C4%93m%C4%81-lv = supersededTerm-admn-sts
akorddarbs-lv = preferredTerm-admn-sts
grunts+p%C4%81ra+tralis-lv = preferredTerm-admn-sts
jauk%C5%A1ana-lv = preferredTerm-admn-sts
kopuz%C5%86%C4%93mums+%22Artemis%22-lv = preferredTerm-admn-sts
kred%C4%ABtv%C4%93stule-lv = preferredTerm-admn-sts
nesaist%C4%ABtu+pu%C5%A1u+dar%C4%ABjuma+princips-lv = preferredTerm-admn-sts
past%C4%81v%C4%ABg%C4%81+iedz%C4%ABvot%C4%81ja+uztur%C4%93%C5%A1an%C4%81s+at%C4%BCauja-lv = preferredTerm-admn-sts
starpposma+p%C4%81rskat%C4%AB%C5%A1ana-lv = deprecatedTerm-admn-sts
%C4%81rpils%C4%93tas+apst%C4%81k%C4%BCi-lv = deprecatedTerm-admn-sts
%C4%ABpa%C5%A1as+aiztur%C4%93%C5%A1anas+telpas-lv = preferredTerm-admn-sts
ARTEMIS+kopuz%C5%86%C4%93mums-lv = deprecatedTerm-admn-sts
Direkt%C4%ABva+par+telev%C4%ABziju+bez+robe%C5%BE%C4%81m-lv = supersededTerm-admn-sts
EIROPAS+PARLAMENTA+UN+PADOMES+REGULA+%28ES%29+Nr.+604%2F2013%282013.+gada+26.+j%C5%ABnijs%29%2Car+ko+paredz+krit%C4%93rijus+un+meh%C4%81nismus%2C+lai+noteiktu+dal%C4%ABbvalsti%2C+kura+ir+atbild%C4%ABga+par+tre%C5%A1%C4%81s+valsts+valstspieder%C4%ABg%C4%81+vai+bezvalstnieka+starptautisk%C4%81s+aizsardz%C4%ABbas+pieteikuma+izskat%C4%AB%C5%A1anu%2C+kas+iesniegts+k%C4%81d%C4%81+no+dal%C4%ABbvalst%C4%ABm+%28p%C4%81rstr%C4%81d%C4%81ta+redakcija%29-lv = supersededTerm-admn-sts
ES%C4%AAP+Sud%C4%81n%C4%81-lv = supersededTerm-admn-sts
Eiropas+Apdro%C5%A1in%C4%81%C5%A1anas+un+fond%C4%93to+pensiju+uzraudz%C4%ABt%C4%81ju+komiteja-lv = supersededTerm-admn-sts
Eiropas+Elektronisko+komunik%C4%81ciju+regulatoru+iest%C4%81des+birojs-lv = supersededTerm-admn-sts
Komiteja+zin%C4%81tnisk%C4%81s+un+tehnisk%C4%81s+p%C4%93tniec%C4%ABbas+jaut%C4%81jumos-lv = supersededTerm-admn-sts
Kopienas+likumdev%C4%93js-lv = supersededTerm-admn-sts
Person%C4%81la+un+administr%C4%81cijas+%C4%A2D-lv = supersededTerm-admn-sts
Prezidentvalsts+draugu+grupa+%28DFS+p%C4%81rskat%C4%AB%C5%A1ana%2Fp%C4%81rstr%C4%81de%29-lv = supersededTerm-admn-sts
Saharova+balva+par+domas+br%C4%ABv%C4%ABbu-lv = preferredTerm-admn-sts
akt%C4%ABvas+vecumdienas-lv = preferredTerm-admn-sts
atkritumu+l%C4%ABdzinciner%C4%81cijas+stacija-lv = preferredTerm-admn-sts
augst%C4%81k%C4%81+l%C4%ABme%C5%86a+dom%C4%93ns-lv = preferredTerm-admn-sts
b%C4%93ta+agonists-lv = preferredTerm-admn-sts
b%C5%ABvuz%C5%86%C4%93m%C4%93js-lv = preferredTerm-admn-sts
daudzpunktu+deton%C4%93t%C4%81jsist%C4%93ma-lv = preferredTerm-admn-sts
divu+kasu+sist%C4%93ma-lv = preferredTerm-admn-sts
formulas+izstr%C4%81de-lv = preferredTerm-admn-sts
gaisa+virsska%C5%86as+reakt%C4%ABvais+dzin%C4%93js-lv = preferredTerm-admn-sts
holiner%C4%A3iskais+agonists-lv = deprecatedTerm-admn-sts
izbrauk%C5%A1anas+r%C4%ABkojums-lv = deprecatedTerm-admn-sts
izmaksu+lietder%C4%ABba-lv = preferredTerm-admn-sts
jaunietekmes+ekonomika-lv = preferredTerm-admn-sts
l%C4%ABdz%C4%ABga+prece-lv = deprecatedTerm-admn-sts
negat%C4%ABv%C4%81+konkur%C4%93jo%C5%A1%C4%81+kontroles+grupa-lv = deprecatedTerm-admn-sts
neleg%C4%81la+uztur%C4%93%C5%A1an%C4%81s-lv = admittedTerm-admn-sts
norepinefr%C4%ABns-lv = deprecatedTerm-admn-sts
novirzes+tirdzniec%C4%ABbas+pl%C5%ABsm%C4%81s-lv = preferredTerm-admn-sts
ped%C4%81lim+pieliktais+sp%C4%93ks-lv = preferredTerm-admn-sts
pozit%C4%ABvi+saisto%C5%A1s+m%C4%93r%C4%B7is-lv = preferredTerm-admn-sts
starpbanku+komisijas+maksa-lv = preferredTerm-admn-sts
tilti%C5%86detonatora+vads-lv = preferredTerm-admn-sts
v%C4%ABrusu+replik%C4%81cija-lv = preferredTerm-admn-sts
vesel%C4%ABbas+apdro%C5%A1in%C4%81%C5%A1anas+polise-lv = preferredTerm-admn-sts
%C4%81rvalstnieks-lv = admittedTerm-admn-sts
133.+panta+komiteja+%28STIS%2C+pakalpojumi%2C+savstarp%C4%93ja+atz%C4%AB%C5%A1ana%29-lv = supersededTerm-admn-sts
A+cukurs-lv = supersededTerm-admn-sts
Direkt%C4%ABva%2C+ar+ko+nosaka+oblig%C4%81tos+standartus+patv%C4%93ruma+mekl%C4%93t%C4%81ju+uz%C5%86em%C5%A1anai-lv = supersededTerm-admn-sts
EDzA-lv = supersededTerm-admn-sts
EMEA-lv = supersededTerm-admn-sts
Konvencijas+par+b%C4%93rna+ties%C4%ABb%C4%81m+fakultat%C4%ABvais+protokols+par+b%C4%93rnu+iesaist%C4%AB%C5%A1anu+bru%C5%86otos+konfliktos-lv = preferredTerm-admn-sts
Kult%C5%ABras+padome-lv = supersededTerm-admn-sts
Pamatties%C4%ABbu+un+pilson%C4%ABbas+jaut%C4%81jumu+ad+hoc+darba+grupa-lv = supersededTerm-admn-sts
Savien%C4%ABbas+pa%C5%A1u+resursu+sist%C4%93ma-lv = preferredTerm-admn-sts
aizmugur%C4%93jais+gabar%C4%ABtlukturis-lv = preferredTerm-admn-sts
alfa+adrenomim%C4%93tisks+l%C4%ABdzeklis-lv = preferredTerm-admn-sts
bezskaidras+naudas+instruments-lv = preferredTerm-admn-sts
da%C4%BC%C4%93ji+atrisin%C4%81t+lietu+p%C4%93c+b%C5%ABt%C4%ABbas-lv = supersededTerm-admn-sts
grafiskais+pap%C4%ABrs-lv = deprecatedTerm-admn-sts
hemaglutin%C4%81cijas+inhib%C4%ABcija-lv = preferredTerm-admn-sts
iecer%C4%93tais+valsts+noteiktais+devums-lv = deprecatedTerm-admn-sts
iemaks%C4%81tais+kapit%C4%81ls-lv = preferredTerm-admn-sts
izdev%C4%93jvalsts-lv = preferredTerm-admn-sts
izpildvalsts-lv = preferredTerm-admn-sts
kult%C5%ABras+un+rado%C5%A1%C4%81s+industrijas-lv = preferredTerm-admn-sts
likv%C4%ABdie+akt%C4%ABvi-lv = preferredTerm-admn-sts
pretblo%C4%B7%C4%93%C5%A1anas+sist%C4%93ma-lv = preferredTerm-admn-sts
radiosakaru+piek%C4%BCuves+t%C4%ABkls-lv = deprecatedTerm-admn-sts
riepas+apjoms-lv = preferredTerm-admn-sts
skald%C4%AB%C5%A1an%C4%81s+fragments-lv = preferredTerm-admn-sts
starptautiskie+%C5%ABde%C5%86i-lv = deprecatedTerm-admn-sts
ticam%C4%ABbas+interv%C4%81ls-lv = preferredTerm-admn-sts
tu%C5%A1%C4%93-lv = deprecatedTerm-admn-sts
%C4%A3ener%C4%81lsekret%C4%81rs%2C+Augstais+p%C4%81rst%C4%81vis+kop%C4%93j%C4%81s+%C4%81rpolitikas+un+dro%C5%A1%C4%ABbas+politikas+liet%C4%81s-lv = supersededTerm-admn-sts
%C5%A0veices+Misija+Eiropas+Kopien%C4%81s-lv = supersededTerm-admn-sts
2.+direktor%C4%81ts+-+Dokumentu+p%C4%81rvald%C4%ABba-lv = supersededTerm-admn-sts
Ansar+Bait+al-Maqdis-lv = supersededTerm-admn-sts
Eiropas+A%C4%A3ent%C5%ABra+lielapjoma+IT+sist%C4%93mu+darb%C4%ABbas+p%C4%81rvald%C4%ABbai+br%C4%ABv%C4%ABbas%2C+dro%C5%A1%C4%ABbas+un+tiesiskuma+telp%C4%81-lv = supersededTerm-admn-sts
Eiropas+Apdro%C5%A1in%C4%81%C5%A1anas+un+fond%C4%93to+pensiju+iest%C4%81de-lv = deprecatedTerm-admn-sts
Eiropas+T%C4%ABklu+un+inform%C4%81cijas+dro%C5%A1%C4%ABbas+a%C4%A3ent%C5%ABra-lv = supersededTerm-admn-sts
Konvencija+par+k%C4%81jnieku+m%C4%ABnu+izmanto%C5%A1anas%2C+uzglab%C4%81%C5%A1anas%2C+ra%C5%BEo%C5%A1anas+un+nodo%C5%A1anas+aizliegumu+un+to+izn%C4%ABcin%C4%81%C5%A1anu-lv = preferredTerm-admn-sts
Starptautiskais+Ruandas+kara+noziegumu+tribun%C4%81ls-lv = deprecatedTerm-admn-sts
Sv.+Hel%C4%93nas+sala-lv = supersededTerm-admn-sts
Tieslietu%2C+iek%C5%A1lietu+un+civil%C4%81s+aizsardz%C4%ABbas+padome-lv = supersededTerm-admn-sts
Tropilaelaps+spp.+inv%C4%81zija-lv = preferredTerm-admn-sts
aprites+princips-lv = admittedTerm-admn-sts
cisternauto-lv = admittedTerm-admn-sts
cisternautomobilis-lv = preferredTerm-admn-sts
gaisa+taisnpl%C5%ABsmas+reakt%C4%ABvais+dzin%C4%93js-lv = preferredTerm-admn-sts
glicerildiacet%C4%81ts-lv = preferredTerm-admn-sts
ievainojam%C4%ABba-lv = preferredTerm-admn-sts
konvencion%C4%81lais+analogs-lv = preferredTerm-admn-sts
lietder%C4%ABg%C4%81+siltumjauda-lv = preferredTerm-admn-sts
m%C4%93r%C4%B7a+dal%C4%ABbvalsts-lv = admittedTerm-admn-sts
neatbilst%C4%ABgs+migrants-lv = preferredTerm-admn-sts
p%C4%81rslodzes+ie%C5%86%C4%93mumi-lv = preferredTerm-admn-sts
satiksmes+puse-lv = preferredTerm-admn-sts
savienot%C4%81jgalvi%C5%86a-lv = preferredTerm-admn-sts
ES+Kiberdro%C5%A1%C4%ABbas+a%C4%A3ent%C5%ABra-lv = deprecatedTerm-admn-sts
ES+att%C4%ABst%C4%ABbas+un+sadarb%C4%ABbas+rezult%C4%81tu+ietvars-lv = supersededTerm-admn-sts
Eiropas+Savien%C4%ABbas+Soci%C4%81lo+p%C4%81rmai%C5%86u+un+soci%C4%81l%C4%81s+inov%C4%81cijas+programma-lv = supersededTerm-admn-sts
H+%C4%A3ener%C4%81ldirektor%C4%81ts+-+Tieslietas+un+iek%C5%A1lietas-lv = supersededTerm-admn-sts
Lauksaimniec%C4%ABbas+tirgu+kop%C4%ABg%C4%81s+organiz%C4%81cijas+p%C4%81rvald%C4%ABbas+komiteja-lv = supersededTerm-admn-sts
P%C4%81rredzam%C4%ABbas+direktor%C4%81ts-lv = supersededTerm-admn-sts
P%C4%93tniec%C4%ABbas+%C4%A3ener%C4%81ldirektor%C4%81ts-lv = supersededTerm-admn-sts
Personu+br%C4%ABvas+kust%C4%ABbas+jaut%C4%81jumu+darba+grupa-lv = supersededTerm-admn-sts
Priv%C4%81t%C4%81+sektora+biroja+darbinieku+pensijas+fonds-lv = supersededTerm-admn-sts
SKT-lv = preferredTerm-admn-sts
atg%C4%81zu+izpl%C5%ABdes+sist%C4%93ma-lv = admittedTerm-admn-sts
atjaunojamie+energoresursi-lv = preferredTerm-admn-sts
atkritumu+vald%C4%ABt%C4%81js-lv = preferredTerm-admn-sts
d%C5%ABmg%C4%81zu+ats%C4%93ro%C5%A1ana-lv = preferredTerm-admn-sts
der%C4%ABg%C4%81+krava-lv = preferredTerm-admn-sts
draudi+sabiedriskajai+k%C4%81rt%C4%ABbai-lv = preferredTerm-admn-sts
g%C4%81ze+ar+zemu+siltumietilp%C4%ABbu-lv = deprecatedTerm-admn-sts
i%2Fv+injekcija-lv = deprecatedTerm-admn-sts
izraid%C4%AB%C5%A1ana-lv = preferredTerm-admn-sts
kalcija+stearoil-2-lakt%C4%81ts-lv = deprecatedTerm-admn-sts
laul%C4%ABbas+b%C4%93rns-lv = supersededTerm-admn-sts
motora+litr%C4%81%C5%BEa-lv = preferredTerm-admn-sts
neleg%C4%81l%C4%81+imigr%C4%81cija-lv = preferredTerm-admn-sts
perona+vad%C4%ABbas+dienests-lv = supersededTerm-admn-sts
polihlordibenzofur%C4%81ns-lv = preferredTerm-admn-sts
vecm%C4%81te-lv = admittedTerm-admn-sts
zemes+ciparu+video+apraide-lv = preferredTerm-admn-sts
133.+panta+komiteja+%28pilnties%C4%ABgi+dal%C4%ABbnieki%29-lv = supersededTerm-admn-sts
ESMA-lv = preferredTerm-admn-sts
Eiropas+Kopienu+Komisija-lv = supersededTerm-admn-sts
Eiropas+Savien%C4%ABbas+Re%C4%A3ionu+komiteja-lv = supersededTerm-admn-sts
Eiropas+pilsonisk%C4%81s+sabiedr%C4%ABbas+platforma+m%C5%AB%C5%BEizgl%C4%ABt%C4%ABbas+jom%C4%81-lv = supersededTerm-admn-sts
Glob%C4%81l%C4%81+vides+un+dro%C5%A1%C4%ABbas+nov%C4%93ro%C5%A1ana-lv = supersededTerm-admn-sts
JaN-lv = supersededTerm-admn-sts
Komitolo%C4%A3ijas+l%C4%93mums-lv = deprecatedTerm-admn-sts
Kopienas+Kodekss+par+noteikumiem%2C+kas+reglament%C4%93+personu+p%C4%81rvieto%C5%A1anos+p%C4%81r+robe%C5%BE%C4%81m-lv = supersededTerm-admn-sts
Laman%C5%A1s-lv = admittedTerm-admn-sts
aizsardz%C4%ABbas+ekip%C4%93jums-lv = preferredTerm-admn-sts
elektroener%C4%A3ijas+PSOET-lv = deprecatedTerm-admn-sts
epinefr%C4%ABns-lv = deprecatedTerm-admn-sts
iepaz%C4%ABties+ar+juridiskajiem+dokumentiem-lv = preferredTerm-admn-sts
iero%C4%8Du+nelikum%C4%ABga+tirdzniec%C4%ABba-lv = preferredTerm-admn-sts
ikgad%C4%93jais+visp%C4%81r%C4%93jais+zi%C5%86ojums+par+KDAP+un+m%C4%81c%C4%ABb%C4%81m+KDAP+jom%C4%81-lv = supersededTerm-admn-sts
klimatnotur%C4%ABga+att%C4%ABst%C4%ABba-lv = preferredTerm-admn-sts
kontrastviela-lv = preferredTerm-admn-sts
l%C4%93mums+par+aizsardz%C4%ABbas+l%C4%ABme%C5%86a+pietiekam%C4%ABbu-lv = preferredTerm-admn-sts
leg%C4%81la+uztur%C4%93%C5%A1an%C4%81s-lv = admittedTerm-admn-sts
mazpatog%C4%93nisk%C4%81+putnu+gripas+v%C4%ABrusa+infekcija-lv = preferredTerm-admn-sts
nacion%C4%81l%C4%81+minorit%C4%81te-lv = preferredTerm-admn-sts
past%C4%81v%C4%ABg%C4%81+iedz%C4%ABvot%C4%81ja+karte-lv = admittedTerm-admn-sts
provizoriska+piem%C4%93ro%C5%A1ana-lv = preferredTerm-admn-sts
robe%C5%BEuzraudz%C4%ABba-lv = preferredTerm-admn-sts
seksu%C4%81l%C4%81+orient%C4%81cija-lv = preferredTerm-admn-sts
sildier%C4%ABce-lv = preferredTerm-admn-sts
tie%C5%A1a+p%C4%81rvald%C4%ABba-lv = preferredTerm-admn-sts
vair%C4%81ki+transform%C4%81cijas+gad%C4%ABjumi-lv = deprecatedTerm-admn-sts
%5BPVN+resursu%5D+piesaist%C4%AB%C5%A1anas+likme-lv = preferredTerm-admn-sts
ADMIN+%C4%A2D-lv = supersededTerm-admn-sts
EIB+Direktoru+padomes+locek%C4%BCu+uzved%C4%ABbas+kodekss-lv = deprecatedTerm-admn-sts
EIRP-lv = admittedTerm-admn-sts
Eiropas+Savien%C4%ABbas+zil%C4%81+karte-lv = preferredTerm-admn-sts
Ekonomikas+un+soci%C4%81lo+lietu+padome-lv = preferredTerm-admn-sts
Juridisk%C4%81+dienesta+skaidrojums-lv = preferredTerm-admn-sts
Nacion%C4%81lo+parku+un+aizsarg%C4%81jamo+teritoriju+komisija-lv = supersededTerm-admn-sts
SDO-lv = preferredTerm-admn-sts
atbr%C4%ABvojums+no+sodanaudas-lv = deprecatedTerm-admn-sts
datorprat%C4%ABba-lv = preferredTerm-admn-sts
gaisa+p%C4%81rvad%C4%81jumu+pavadz%C4%ABme-lv = preferredTerm-admn-sts
gamma+aminosviestsk%C4%81be-lv = preferredTerm-admn-sts
ien%C4%81kumi-lv = preferredTerm-admn-sts
izdev%C4%93jiest%C4%81de-lv = preferredTerm-admn-sts
izkrau%C5%A1anas+pien%C4%81kums-lv = preferredTerm-admn-sts
