%C5%A1%C4%B7%C4%ABvjot%C4%81+kolonna-lv = deprecatedTerm-admn-sts
36.+panta+komiteja-lv = supersededTerm-admn-sts
A+kategorijas+v%C4%ABza-lv = admittedTerm-admn-sts
Bombeja-lv = supersededTerm-admn-sts
EIB+darbinieku+p%C4%81rst%C4%81vji-lv = preferredTerm-admn-sts
Eiropas+Savien%C4%ABbas+misija+saist%C4%ABb%C4%81+ar+re%C4%A3iona+j%C5%ABras+sp%C4%93ku+izveidi+%C4%80frikas+rag%C4%81-lv = supersededTerm-admn-sts
Eiropas+Tehnolo%C4%A3iju+instit%C5%ABts-lv = supersededTerm-admn-sts
Eiropas+kop%C4%93j%C4%81+dro%C5%A1%C4%ABbas+un+aizsardz%C4%ABbas+politika-lv = supersededTerm-admn-sts
Eiropas+l%C4%ABgumu+s%C4%93rija-lv = supersededTerm-admn-sts
F+%C4%A3ener%C4%81ldirektor%C4%81ts+-+Sazi%C5%86a+un+dokumentu+p%C4%81rvald%C4%ABba-lv = supersededTerm-admn-sts
Finan%C5%A1u+pl%C4%81na+ad+hoc+darba+grupa-lv = supersededTerm-admn-sts
Klimata+p%C4%81rmai%C5%86u+noda%C4%BCa-lv = supersededTerm-admn-sts
Kopienas+preces-lv = supersededTerm-admn-sts
Vidusj%C5%ABras+re%C4%A3iona+jaut%C4%81jumu+darba+grupa-lv = preferredTerm-admn-sts
Zivsaimniec%C4%ABbas+padome-lv = supersededTerm-admn-sts
Zivsaimniec%C4%ABbas+un+j%C5%ABrlietu+%C4%A2D-lv = supersededTerm-admn-sts
attiecin%C4%81m%C4%ABbas+krit%C4%93riji-lv = preferredTerm-admn-sts
augsnes+oglek%C4%BCa+kr%C4%81ja-lv = deprecatedTerm-admn-sts
demokr%C4%81tiskas+vienl%C4%ABdz%C4%ABbas+princips-lv = deprecatedTerm-admn-sts
diagon%C4%81l%C4%81+riepa-lv = preferredTerm-admn-sts
e-vesel%C4%ABbas+pacienta+karte-lv = preferredTerm-admn-sts
elektroener%C4%A3ijas+sist%C4%93ma-lv = preferredTerm-admn-sts
iv+injekcija-lv = deprecatedTerm-admn-sts
kodolsp%C4%93kstacija-lv = deprecatedTerm-admn-sts
labuma+guv%C4%93js-lv = preferredTerm-admn-sts
rev%C4%ABzijas+taka-lv = preferredTerm-admn-sts
rezistence+pret+antimikrobi%C4%81liem+l%C4%ABdzek%C4%BCiem-lv = preferredTerm-admn-sts
robott%C4%ABkls-lv = preferredTerm-admn-sts
siltums%C5%ABk%C5%86a+telpas+sild%C4%ABt%C4%81js-lv = preferredTerm-admn-sts
sp%C4%93ka+adapters-lv = admittedTerm-admn-sts
tradicion%C4%81l%C4%81+g%C4%81ze-lv = preferredTerm-admn-sts
ununpentijs-lv = supersededTerm-admn-sts
vecm%C4%81mu%C4%BCa-lv = preferredTerm-admn-sts
EARSS-lv = supersededTerm-admn-sts
ES+Strat%C4%93%C4%A3ija+masu+izn%C4%ABcin%C4%81%C5%A1anas+iero%C4%8Du+izplat%C4%AB%C5%A1anas+nov%C4%93r%C5%A1anai-lv = preferredTerm-admn-sts
Eiropas+Robe%C5%BEsardze-lv = supersededTerm-admn-sts
Eiropas+Transporta+ministru+konference-lv = supersededTerm-admn-sts
Finan%C5%A1u+pakalpojumu+jaut%C4%81jumu+darba+grupa+%28nor%C4%93%C4%B7inu+gal%C4%ABgums%2F+finan%C5%A1u+nodro%C5%A1in%C4%81jums%29-lv = supersededTerm-admn-sts
Garantija+jaunie%C5%A1iem-lv = preferredTerm-admn-sts
Hum%C4%81n%C4%81s+pal%C4%ABdz%C4%ABbas+un+civil%C4%81s+aizsardz%C4%ABbas+%C4%A2D-lv = supersededTerm-admn-sts
Prezidentvalsts+draugu+grupa+%28daudzgadu+finan%C5%A1u+sh%C4%93mas+p%C4%81rskat%C4%AB%C5%A1ana%2Fp%C4%81rstr%C4%81de+%2F+Omnibus+finan%C5%A1u+regula%29-lv = supersededTerm-admn-sts
apstiprin%C4%81juma+mar%C4%B7%C4%93juma+z%C4%ABme-lv = preferredTerm-admn-sts
atbr%C4%ABvojums+no+v%C4%ABzu+pras%C4%ABbas-lv = preferredTerm-admn-sts
atkrastes+platforma-lv = preferredTerm-admn-sts
citas+me%C5%BEa+zemes-lv = deprecatedTerm-admn-sts
eirolikums-lv = supersededTerm-admn-sts
ekspoz%C4%ABcija-lv = preferredTerm-admn-sts
elektroapg%C4%81de-lv = preferredTerm-admn-sts
iepl%C5%ABdes+kolektora+retin%C4%81jums-lv = admittedTerm-admn-sts
laicisk%C4%81+iz%C5%A1%C4%B7irtsp%C4%93ja-lv = preferredTerm-admn-sts
laul%C4%81to+at%C5%A1%C4%B7ir%C5%A1ana-lv = preferredTerm-admn-sts
mikroskopisk%C4%81s+a%C4%BC%C4%A3es-lv = preferredTerm-admn-sts
narkotiku+at%C5%A1%C4%B7aid%C4%ABt%C4%81js-lv = preferredTerm-admn-sts
nodul%C4%81r%C4%81+dermat%C4%ABta+v%C4%ABrusa+infekcija-lv = preferredTerm-admn-sts
