%28production+de%29+gaz+%C3%A0+partir+d%27%C3%A9lectricit%C3%A9-fr = preferredTerm-admn-sts
Accord+entre+le+Conseil+des+Communaut%C3%A9s+europ%C3%A9ennes+et+les+organisations+syndicales+ou+professionnelles+du+personnel+du+Secr%C3%A9tariat+G%C3%A9n%C3%A9ral+du+Conseil-fr = supersededTerm-admn-sts
Agence+OTAN+de+normalisation-fr = supersededTerm-admn-sts
Association+internationale+permanente+des+congr%C3%A8s+de+la+route-fr = supersededTerm-admn-sts
CCR-fr = supersededTerm-admn-sts
CENTO-fr = supersededTerm-admn-sts
CJCE-fr = supersededTerm-admn-sts
Comit%C3%A9+scientifique+de+l%27alimentation+humaine-fr = supersededTerm-admn-sts
Commission+internationale+des+unit%C3%A9s+et+mesures+radiologiques-fr = supersededTerm-admn-sts
Office+de+coop%C3%A9ration+EuropeAid-fr = supersededTerm-admn-sts
R%C3%A9seau+des+r%C3%A9gions+europ%C3%A9ennes+pour+la+recherche+et+l%27innovation-fr = preferredTerm-admn-sts
R%C3%A9union+annuelle+internationale+concernant+les+services+linguistiques%2C+la+documentation+et+les+publications-fr = preferredTerm-admn-sts
cybercrime-fr = admittedTerm-admn-sts
diam%C3%A8tre+des+zones+de+diffusion+des+disques-fr = deprecatedTerm-admn-sts
dioxyde+de+titane-fr = preferredTerm-admn-sts
dispositif+de+coordination+dans+les+situations+d%27urgence+et+de+crise-fr = supersededTerm-admn-sts
droit+de+s%C3%A9jour-fr = preferredTerm-admn-sts
droits+de+l%27homme-fr = preferredTerm-admn-sts
grille+%C3%A0+cailloux-fr = preferredTerm-admn-sts
installation+de+flottage-fr = deprecatedTerm-admn-sts
les+Terres+australes+et+antarctiques+fran%C3%A7aises-fr = preferredTerm-admn-sts
march%C3%A9+de+la+dette+des+entreprises-fr = preferredTerm-admn-sts
photo+du+visage-fr = admittedTerm-admn-sts
proton+solaire-fr = deprecatedTerm-admn-sts
question+pr%C3%A9alable-fr = supersededTerm-admn-sts
r%C3%A8glement+sur+la+marque+communautaire-fr = supersededTerm-admn-sts
r%C3%A9acteur+bouillant-fr = admittedTerm-admn-sts
r%C3%A9silience+%C3%A0+l%27%C3%A9gard+des+parasites-fr = deprecatedTerm-admn-sts
risque+g%C3%A9ologique-fr = preferredTerm-admn-sts
science+du+sol-fr = preferredTerm-admn-sts
secr%C3%A9taire+g%C3%A9n%C3%A9ral+des+Nations+unies-fr = deprecatedTerm-admn-sts
service+f%C3%A9d%C3%A9ral+de+protection+des+fronti%C3%A8res-fr = supersededTerm-admn-sts
vaccin+combin%C3%A9-fr = preferredTerm-admn-sts
AIPA-fr = admittedTerm-admn-sts
AOC-fr = supersededTerm-admn-sts
CIM-fr = supersededTerm-admn-sts
Conseil+d%27administration+de+l%27Agence+europ%C3%A9enne+pour+la+s%C3%A9curit%C3%A9+et+la+sant%C3%A9+au+travail-fr = supersededTerm-admn-sts
Conseil+des+ministres+ACP-CE-fr = supersededTerm-admn-sts
F%C3%A9d%C3%A9ration+des+associations+europ%C3%A9ennes+de+l%27automatique-fr = supersededTerm-admn-sts
Facult%C3%A9s+universitaires+Saint-Louis-fr = supersededTerm-admn-sts
Groupe+europ%C3%A9en+d%27archives-fr = preferredTerm-admn-sts
SPF+Mobilit%C3%A9-fr = admittedTerm-admn-sts
Service+central+de+la+statistique+et+des+%C3%A9tudes+%C3%A9conomiques-fr = supersededTerm-admn-sts
comit%C3%A9+consultatif+Cariforum-UE-fr = preferredTerm-admn-sts
d%C3%A9bit+de+transfert+num%C3%A9rique-fr = deprecatedTerm-admn-sts
d%C3%A9savantage-fr = supersededTerm-admn-sts
donn%C3%A9e+municipale-fr = deprecatedTerm-admn-sts
envoy%C3%A9+sp%C3%A9cial+des+Nations+unies-fr = preferredTerm-admn-sts
fonds+d%27investissement+en+faveur+de+la+politique+de+voisinage-fr = supersededTerm-admn-sts
obligation+li%C3%A9e+%C3%A0+des+projets-fr = preferredTerm-admn-sts
offre+retenue-fr = preferredTerm-admn-sts
p%C3%A9dologie-fr = preferredTerm-admn-sts
pr%C3%A9f%C3%A9rence+communautaire-fr = supersededTerm-admn-sts
rapport+de+vitesse+en+bout+de+pale-fr = preferredTerm-admn-sts
refus+de+financement+de+d%C3%A9penses-fr = deprecatedTerm-admn-sts
scientifique+%C3%A9tranger-fr = preferredTerm-admn-sts
surface+balay%C3%A9e+par+le+rotor-fr = preferredTerm-admn-sts
titres+autres+que+de+capital-fr = preferredTerm-admn-sts
typologie+communautaire+des+exploitations+agricoles-fr = supersededTerm-admn-sts
visa+multi-entr%C3%A9es-fr = admittedTerm-admn-sts
zone+de+libre-%C3%A9change+approfondie+et+compl%C3%A8te-fr = deprecatedTerm-admn-sts
CIPN-fr = supersededTerm-admn-sts
Comit%C3%A9+des+%C3%89glises+aupr%C3%A8s+des+travailleurs+migrants-fr = supersededTerm-admn-sts
Conf%C3%A9rence+Internationale+Permanente+de+Directeurs+d%E2%80%99Instituts+Universitaires+pour+la+formation+de+Traducteurs+et+d%E2%80%99Interpr%C3%A8tes-fr = supersededTerm-admn-sts
D%C3%A9partement+des+affaires+de+d%C3%A9sarmement-fr = supersededTerm-admn-sts
DG+D-fr = supersededTerm-admn-sts
DG+Entreprises-fr = supersededTerm-admn-sts
DG+P%C3%AAche-fr = supersededTerm-admn-sts
Direction+2B+-+Immeubles%2C+logistique-fr = supersededTerm-admn-sts
GIF-fr = admittedTerm-admn-sts
ISE-fr = supersededTerm-admn-sts
Institut+national+du+cancer+du+Canada-fr = supersededTerm-admn-sts
RESTREINT+UE-fr = supersededTerm-admn-sts
SEAT-fr = deprecatedTerm-admn-sts
d%C3%A9mat%C3%A9rialisation+du+processus+de+souscription-fr = preferredTerm-admn-sts
demande+d%27asile-fr = preferredTerm-admn-sts
disparition+du+lieu-fr = preferredTerm-admn-sts
ergoth%C3%A9rapie-fr = preferredTerm-admn-sts
examen+de+la+demande+d%27asile-fr = preferredTerm-admn-sts
heures+de+pleine+charge-fr = preferredTerm-admn-sts
initiative+de+financement+acc%C3%A9l%C3%A9r%C3%A9-fr = supersededTerm-admn-sts
laboratoire+communautaire+de+r%C3%A9f%C3%A9rence-fr = supersededTerm-admn-sts
marchandises+communautaires-fr = supersededTerm-admn-sts
nuage+de+tags-fr = deprecatedTerm-admn-sts
parasite-fr = deprecatedTerm-admn-sts
partenariat+non+matrimonial-fr = preferredTerm-admn-sts
pr%C3%A9paration+magistrale-fr = preferredTerm-admn-sts
r%C3%A9ception+CE+par+type-fr = supersededTerm-admn-sts
risque+li%C3%A9+au+contr%C3%B4le-fr = supersededTerm-admn-sts
scrutin+direct-fr = admittedTerm-admn-sts
somatotropine-fr = deprecatedTerm-admn-sts
syst%C3%A8me+IDL-fr = supersededTerm-admn-sts
syst%C3%A8me+de+formation+%C3%A0+distance+par+Internet-fr = supersededTerm-admn-sts
syst%C3%A8me+de+post-traitement+des+NOx-fr = preferredTerm-admn-sts
Agence+europ%C3%A9enne+pour+l%27%C3%A9valuation+des+m%C3%A9dicaments-fr = supersededTerm-admn-sts
actif+non+liquide-fr = preferredTerm-admn-sts
Comit%C3%A9+%C3%A9conomique+et+social-fr = supersededTerm-admn-sts
Corps+f%C3%A9d%C3%A9ral+de+protection+des+fonti%C3%A8res-fr = supersededTerm-admn-sts
D%C3%A9i+Gr%C3%A9ng-fr = preferredTerm-admn-sts
Direction+4+-+Emploi%2C+politique+sociale%2C+sant%C3%A9+et+denr%C3%A9es+alimentaires-fr = supersededTerm-admn-sts
ESMA-fr = preferredTerm-admn-sts
EuroMALE-fr = supersededTerm-admn-sts
