%28production+de%29+gaz+%C3%A0+partir+d%27%C3%A9lectricit%C3%A9-fr = preferredTerm-admn-sts
Groupe+permanent+%22agriculture+biologique%22-fr = supersededTerm-admn-sts
Harakat+ul-Ansar-fr = supersededTerm-admn-sts
Institut+d%27%C3%A9tudes+de+s%C3%A9curit%C3%A9-fr = supersededTerm-admn-sts
Mogadiscio-fr = preferredTerm-admn-sts
Observatoire+europ%C3%A9en+des+ph%C3%A9nom%C3%A8nes+racistes+et+x%C3%A9nophobes-fr = supersededTerm-admn-sts
Territoire+d%27outre-mer-fr = supersededTerm-admn-sts
UEFA-fr = preferredTerm-admn-sts
Unit%C3%A9+2B+-+Politiques+de+l%27%C3%A9nergie%2C+questions+atomiques%2C+soci%C3%A9t%C3%A9+de+l%27information-fr = supersededTerm-admn-sts
acte+communautaire-fr = supersededTerm-admn-sts
assistance+judiciaire-fr = supersededTerm-admn-sts
commissaire+charg%C3%A9+de+la+Justice%2C+des+droits+fondamentaux+et+de+la+citoyennet%C3%A9-fr = supersededTerm-admn-sts
disparition+des+colonies+d%E2%80%99abeilles-fr = preferredTerm-admn-sts
document+marqu%C3%A9+d%27un+niveau+de+s%C3%A9curit%C3%A9-fr = supersededTerm-admn-sts
dumping-fr = preferredTerm-admn-sts
formation+de+jugement+ordinaire-fr = supersededTerm-admn-sts
gonadotropine+chorionique+%C3%A9quine-fr = preferredTerm-admn-sts
groupe+europ%C3%A9en+de+haut+niveau+sur+la+s%C3%BBret%C3%A9+nucl%C3%A9aire+et+la+gestion+des+d%C3%A9chets-fr = supersededTerm-admn-sts
lignes+directrices+de+la+Communaut%C3%A9+concernant+les+aides+d%27%C3%89tat+dans+le+secteur+agricole-fr = supersededTerm-admn-sts
m%C3%A9thanol-fr = preferredTerm-admn-sts
op%C3%A9ration+fictive-fr = preferredTerm-admn-sts
quark+t-fr = preferredTerm-admn-sts
r%C3%A9gion+du+Proche-Orient+et+de+l%27Afrique+du+Nord-fr = preferredTerm-admn-sts
s%C3%A9lection+abusive+du+forum-fr = deprecatedTerm-admn-sts
substance+r%C3%A9manente-fr = admittedTerm-admn-sts
Chambre+des+notaires+des+Pays-Bas-fr = supersededTerm-admn-sts
Comit%C3%A9+de+l%27article+133+%28Membres+suppl%C3%A9ants%29-fr = supersededTerm-admn-sts
F%C3%A9d%C3%A9ration+europ%C3%A9enne+des+Partis+Verts-fr = supersededTerm-admn-sts
GMES-fr = supersededTerm-admn-sts
NSCC-fr = supersededTerm-admn-sts
VTA-fr = admittedTerm-admn-sts
cadre+pour+le+redressement+et+la+r%C3%A9solution+des+%C3%A9tablissements+de+cr%C3%A9dit+et+des+entreprises+d%27investissement-fr = preferredTerm-admn-sts
d%C3%A9valuation+comp%C3%A9titive-fr = preferredTerm-admn-sts
direction+g%C3%A9n%C3%A9rale+de+l%27aide+humanitaire+et+de+la+protection+civile+%28ECHO%29-fr = supersededTerm-admn-sts
groupe+d%27%C3%A9tude+permanent+%C2%ABCommerce+international%C2%BB-fr = supersededTerm-admn-sts
hold-up-fr = deprecatedTerm-admn-sts
mandat-fr = admittedTerm-admn-sts
r%C3%A9union+pl%C3%A9ni%C3%A8re-fr = supersededTerm-admn-sts
servicisation-fr = preferredTerm-admn-sts
trouble+du+spectre+autistique-fr = preferredTerm-admn-sts
visa+de+type+A-fr = admittedTerm-admn-sts
Bombay-fr = preferredTerm-admn-sts
CDAA-fr = preferredTerm-admn-sts
CES-fr = supersededTerm-admn-sts
CPNAP-fr = supersededTerm-admn-sts
Code+de+conduite+international+contre+la+prolif%C3%A9ration+des+missiles+balistiques-fr = supersededTerm-admn-sts
Comit%C3%A9+directeur+de+l%27Agence+internationale+de+l%27%C3%A9nergie-fr = supersededTerm-admn-sts
Commission+europ%C3%A9enne+des+for%C3%AAts+et+produits+forestiers-fr = supersededTerm-admn-sts
Conseil+d%27administration+du+PNUE-fr = supersededTerm-admn-sts
DG+G-fr = supersededTerm-admn-sts
Direction+s%C3%BBret%C3%A9+et+s%C3%A9curit%C3%A9-fr = supersededTerm-admn-sts
EUCAP+NESTOR-fr = supersededTerm-admn-sts
EUIPO-fr = preferredTerm-admn-sts
Groupe+%22Europe+centrale+et+du+Sud-Est%22-fr = supersededTerm-admn-sts
ISIS-fr = supersededTerm-admn-sts
LEADER-fr = supersededTerm-admn-sts
ORBAT-fr = deprecatedTerm-admn-sts
Office+de+l%27harmonisation+dans+le+march%C3%A9+int%C3%A9rieur+%28marques%2C+dessins+et+mod%C3%A8les%29-fr = supersededTerm-admn-sts
Programme+europ%C3%A9en+de+formation+pour+les+m%C3%A9diateurs-fr = supersededTerm-admn-sts
TPI-fr = supersededTerm-admn-sts
anthrax-fr = admittedTerm-admn-sts
antichristianisme-fr = admittedTerm-admn-sts
commercialisation+%C3%A0+distance+de+services+financiers-fr = preferredTerm-admn-sts
compte+d%27exploitation-fr = supersededTerm-admn-sts
cr%C3%A9dit+permanent-fr = supersededTerm-admn-sts
d%C3%A9ficient+visuel-fr = deprecatedTerm-admn-sts
d%C3%A9pouillement-fr = preferredTerm-admn-sts
directive+%22fonds+propres%22-fr = supersededTerm-admn-sts
divergence+g%C3%A9om%C3%A9trique-fr = preferredTerm-admn-sts
donn%C3%A9es+ouvertes+du+secteur+public-fr = admittedTerm-admn-sts
exemption+de+visa-fr = admittedTerm-admn-sts
infection+par+le+virus+de+la+dermatose+nodulaire+contagieuse-fr = preferredTerm-admn-sts
instrument+de+d%C3%A9pr%C3%A9ciation+des+cr%C3%A9ances-fr = supersededTerm-admn-sts
offre+de+gestion-fr = deprecatedTerm-admn-sts
ovoproduit-fr = preferredTerm-admn-sts
passation+conjointe+de+march%C3%A9s-fr = preferredTerm-admn-sts
prise+accessoire-fr = preferredTerm-admn-sts
proc%C3%A9dure+d%27asile-fr = preferredTerm-admn-sts
r%C3%A9gulation+active+par+d%C3%A9crochage+a%C3%A9rodynamique-fr = preferredTerm-admn-sts
rapatriement-fr = supersededTerm-admn-sts
s%C3%A9jour+illicite-fr = admittedTerm-admn-sts
sable+limoneux-fr = preferredTerm-admn-sts
syndet-fr = deprecatedTerm-admn-sts
territoire+national-fr = admittedTerm-admn-sts
visa+multiple-fr = admittedTerm-admn-sts
web+invisible-fr = preferredTerm-admn-sts
Constantinople-fr = supersededTerm-admn-sts
DG+Soci%C3%A9t%C3%A9+de+l%27information-fr = supersededTerm-admn-sts
Direction+2+-+%C3%89largissement%2C+s%C3%A9curit%C3%A9%2C+protection+civile%2C+soutien+du+Conseil+des+affaires+%C3%A9trang%C3%A8res-fr = supersededTerm-admn-sts
Direction+2+-+Emploi%2C+affaires+sociales%2C+%C3%A9ducation%2C+agriculture%2C+p%C3%AAche-fr = supersededTerm-admn-sts
Direction+g%C3%A9n%C3%A9rale+G+-+Affaires+%C3%A9conomiques+et+comp%C3%A9titivit%C3%A9-fr = supersededTerm-admn-sts
ENTR-fr = supersededTerm-admn-sts
ESLSCA-fr = preferredTerm-admn-sts
FEEE-fr = supersededTerm-admn-sts
Facult%C3%A9+universitaire+Saint-Louis-fr = supersededTerm-admn-sts
Mouvement+de+la+tendance+islamique-fr = supersededTerm-admn-sts
Protocole+relatif+%C3%A0+la+pr%C3%A9vention+de+la+pollution+de+la+mer+M%C3%A9diterran%C3%A9e+par+les+op%C3%A9rations+d%27immersion+effectu%C3%A9es+par+les+navires+et+a%C3%A9ronefs-fr = supersededTerm-admn-sts
R%C3%A9seau+Belge+des+Entreprises+pour+la+Coh%C3%A9sion+Sociale-fr = supersededTerm-admn-sts
RC-fr = supersededTerm-admn-sts
T2S-fr = admittedTerm-admn-sts
Tribunal+de+premi%C3%A8re+instance-fr = supersededTerm-admn-sts
Union+%C3%A9conomique+eurasiatique-fr = preferredTerm-admn-sts
Union+nationale+des+f%C3%A9d%C3%A9rations+d%27organismes+HLM-fr = supersededTerm-admn-sts
analytique+de+l%27apprentissage-fr = deprecatedTerm-admn-sts
autorisation+de+s%C3%A9jour+pour+motifs+humanitaires-fr = admittedTerm-admn-sts
broche+%C3%A0+prisonnier-fr = preferredTerm-admn-sts
contrat+d%27emploi+consolid%C3%A9-fr = supersededTerm-admn-sts
coulisse-fr = preferredTerm-admn-sts
effet+procyclique-fr = preferredTerm-admn-sts
groupe+ad+hoc+sur+l%27%C3%A9change+d%27informations-fr = supersededTerm-admn-sts
inculp%C3%A9-fr = supersededTerm-admn-sts
infection+par+le+virus+de+la+maladie+d%E2%80%99Aujeszky-fr = preferredTerm-admn-sts
inflation+import%C3%A9e-fr = preferredTerm-admn-sts
infographique-fr = deprecatedTerm-admn-sts
m%C3%A9so-finance-fr = admittedTerm-admn-sts
note+l%C3%A9gale+compl%C3%A9mentaire-fr = supersededTerm-admn-sts
p%C3%A9nurie+de+cr%C3%A9dit-fr = preferredTerm-admn-sts
poule+n%C3%A8gre-soie-fr = deprecatedTerm-admn-sts
procureur+des+droits+humains-fr = admittedTerm-admn-sts
ressortissant+%C3%A9tranger-fr = admittedTerm-admn-sts
ressortissant+de+pays+tiers-fr = admittedTerm-admn-sts
retour+volontaire-fr = preferredTerm-admn-sts
s%C3%A9jour+ne+d%C3%A9passant+pas+trois+mois-fr = admittedTerm-admn-sts
sang+de+rate-fr = supersededTerm-admn-sts
strat%C3%A9gie+antiterroriste+mondiale-fr = preferredTerm-admn-sts
t%C3%A9l%C3%A9vision+mobile-fr = preferredTerm-admn-sts
traite+des+personnes-fr = admittedTerm-admn-sts
ville-fr = deprecatedTerm-admn-sts
violation+des+droits+de+l%27homme-fr = preferredTerm-admn-sts
Agence+de+l%27Union+europ%C3%A9enne+pour+la+s%C3%A9curit%C3%A9+a%C3%A9rienne-fr = preferredTerm-admn-sts
Agence+ex%C3%A9cutive+pour+le+programme+de+sant%C3%A9+publique-fr = supersededTerm-admn-sts
Assembl%C3%A9e+parlementaire+euro-m%C3%A9diterran%C3%A9enne-fr = supersededTerm-admn-sts
Bureau+de+liaison+du+Secr%C3%A9tariat+G%C3%A9n%C3%A9ral+du+Conseil+des+Communaut%C3%A9s+europ%C3%A9ennes+aupr%C3%A8s+des+Organisations+internationales+%C3%A0+Gen%C3%A8ve-fr = supersededTerm-admn-sts
Bureau+des+accords-fr = supersededTerm-admn-sts
Centre+de+situation+de+l%27UE-fr = supersededTerm-admn-sts
Conseil+%22P%C3%AAche%22-fr = supersededTerm-admn-sts
Convention+sur+les+cong%C3%A9s+pay%C3%A9s%2C+1936+%28C52%29-fr = supersededTerm-admn-sts
Direction+4+-+Questions+institutionnelles+%2F+Statut+%2F+Contentieux-fr = supersededTerm-admn-sts
Direction+6+-+Affaires+%C3%A9conomiques+et+financi%C3%A8res%2C+budget%2C+fonds+structurels-fr = supersededTerm-admn-sts
Direction+g%C3%A9n%C3%A9rale+de+la+justice+et+des+affaires+int%C3%A9rieures-fr = supersededTerm-admn-sts
Direction+g%C3%A9n%C3%A9rale+de+la+sant%C3%A9+et+de+la+protection+des+consommateurs-fr = supersededTerm-admn-sts
Direction+g%C3%A9n%C3%A9rale+du+march%C3%A9+int%C3%A9rieur-fr = supersededTerm-admn-sts
FISCM-fr = supersededTerm-admn-sts
Parti+ouvrier+socialiste-fr = supersededTerm-admn-sts
Protocole%2C+conf%C3%A9rences%2C+immeubles%2C+logistique-fr = supersededTerm-admn-sts
Trait%C3%A9+instituant+l%27Union+%C3%A9conomique+Benelux-fr = supersededTerm-admn-sts
Union+Internationale+du+Notariat+Latin-fr = supersededTerm-admn-sts
aide+sociale-fr = preferredTerm-admn-sts
biopesticide-fr = admittedTerm-admn-sts
concours+pour+linguistes-fr = preferredTerm-admn-sts
coussin+de+capital-fr = preferredTerm-admn-sts
droits+des+femmes+inh%C3%A9rents+aux+droits+humains-fr = admittedTerm-admn-sts
forme+orale+%C3%A0+lib%C3%A9ration+imm%C3%A9diate-fr = preferredTerm-admn-sts
gestion+int%C3%A9gr%C3%A9e+des+fronti%C3%A8res-fr = admittedTerm-admn-sts
gestion+partag%C3%A9e-fr = preferredTerm-admn-sts
groupe+auxiliaire+de+puissance-fr = preferredTerm-admn-sts
infection+par+le+virus+de+la+fi%C3%A8vre+de+la+Vall%C3%A9e+du+Rift-fr = preferredTerm-admn-sts
int%C3%A9gration+civique-fr = preferredTerm-admn-sts
interface+de+programmation-fr = preferredTerm-admn-sts
la+R%C3%A9publique+d%27Islande-fr = deprecatedTerm-admn-sts
marque+CE-fr = supersededTerm-admn-sts
norme+d%E2%80%99%C3%A9change+automatique+de+renseignements+relatifs+aux+comptes+financiers-fr = preferredTerm-admn-sts
nuage+ouvert+europ%C3%A9en+au+service+de+la+science-fr = deprecatedTerm-admn-sts
parc+d%27attente-fr = preferredTerm-admn-sts
pension+de+retraite+anticip%C3%A9e-fr = preferredTerm-admn-sts
plan+national+d%27allocation+de+quotas-fr = preferredTerm-admn-sts
pro-Brexit-fr = admittedTerm-admn-sts
puissance-fr = deprecatedTerm-admn-sts
refus+de+prise+en+charge+de+d%C3%A9penses-fr = deprecatedTerm-admn-sts
s%C3%BBret%C3%A9-fr = preferredTerm-admn-sts
scories+sodiques-fr = preferredTerm-admn-sts
unit%C3%A9+%22Visites+et+publications%22-fr = preferredTerm-admn-sts
v%C3%A9hicule+%C3%A0+carburant+modulable-fr = preferredTerm-admn-sts
vitesse+hors+service-fr = admittedTerm-admn-sts
Bloc+flamand-fr = supersededTerm-admn-sts
Comit%C3%A9+de+L%27industrie+des+cidres+et+vins+de+fruits+de+la+CEE-fr = supersededTerm-admn-sts
Comit%C3%A9+de+l%27Espace+europ%C3%A9en+de+la+recherche-fr = supersededTerm-admn-sts
Conseil+%22Justice%2C+affaires+int%C3%A9rieures+et+protection+civile%22-fr = supersededTerm-admn-sts
Conseil+de+l%27%C3%A9nergie+UE%2F%C3%89tats-Unis-fr = preferredTerm-admn-sts
Convention+sur+les+travailleurs+migrants%2C+de+1939+%28C66%29-fr = supersededTerm-admn-sts
Direction+de+la+s%C3%A9curit%C3%A9+et+de+la+circulation+routi%C3%A8res-fr = supersededTerm-admn-sts
F%C3%A9d%C3%A9ration+europ%C3%A9enne+des+activit%C3%A9s+du+d%C3%A9chet-fr = supersededTerm-admn-sts
IFRB-fr = supersededTerm-admn-sts
Protocole+de+Cartagena+sur+la+pr%C3%A9vention+des+risques+biotechnologiques+relatif+%C3%A0+la+Convention+sur+la+diversit%C3%A9+biologique-fr = preferredTerm-admn-sts
Protocole+int%C3%A9grant+l%27acquis+de+Schengen+dans+le+cadre+de+l%27Union+europ%C3%A9enne-fr = supersededTerm-admn-sts
Tribunal+de+la+fonction+publique-fr = supersededTerm-admn-sts
autorit%C3%A9+nationale+de+contr%C3%B4le-fr = preferredTerm-admn-sts
cat%C3%A9gorie+%C2%ABPME%2C+artisanat+et+professions+lib%C3%A9rales%C2%BB-fr = supersededTerm-admn-sts
chasse+%C3%A0+la+baleine-fr = preferredTerm-admn-sts
commission+de+concertation-fr = supersededTerm-admn-sts
compteur+de+tours-fr = preferredTerm-admn-sts
effet+d%27abri-fr = preferredTerm-admn-sts
examen+annuel+de+la+croissance-fr = preferredTerm-admn-sts
groupe+de+pilotage-fr = supersededTerm-admn-sts
le+Myanmar%2Fla+Birmanie-fr = preferredTerm-admn-sts
le+Royaume+du+Swaziland-fr = supersededTerm-admn-sts
moniteur+des+chiffres+de+l%27emploi-fr = admittedTerm-admn-sts
offre-fr = preferredTerm-admn-sts
oligo%C3%A9l%C3%A9ment-fr = preferredTerm-admn-sts
peuple+lapon-fr = deprecatedTerm-admn-sts
profil+a%C3%A9rodynamique-fr = preferredTerm-admn-sts
programme+europ%C3%A9en+de+surveillance+de+la+Terre-fr = supersededTerm-admn-sts
refus+de+l%27asile+pour+crime-fr = preferredTerm-admn-sts
subsidiation-fr = admittedTerm-admn-sts
sucre+inverti-fr = preferredTerm-admn-sts
terminal+m%C3%A9thanier-fr = admittedTerm-admn-sts
titre+alcoom%C3%A9trique-fr = preferredTerm-admn-sts
unununium-fr = supersededTerm-admn-sts
visa+de+court+s%C3%A9jour+%C3%A0+entr%C3%A9es+multiples-fr = preferredTerm-admn-sts
zone+euro-fr = preferredTerm-admn-sts
ADN+porteur-fr = deprecatedTerm-admn-sts
Agence+ex%C3%A9cutive+pour+la+comp%C3%A9titivit%C3%A9+et+l%27innovation-fr = supersededTerm-admn-sts
Alternative+bolivarienne+pour+les+Am%C3%A9riques-fr = supersededTerm-admn-sts
BONUCA-fr = supersededTerm-admn-sts
CCK-fr = supersededTerm-admn-sts
Centre+de+coordination+de+la+r%C3%A9action+d%27urgence-fr = preferredTerm-admn-sts
Centre+r%C3%A9gional+de+v%C3%A9rification+et+d%E2%80%99assistance+%C3%A0+la+mise+en+%C5%93uvre+en+mati%C3%A8re+de+contr%C3%B4le+des+armes-fr = supersededTerm-admn-sts
Comit%C3%A9+des+r%C3%A8gles+et+pratiques+de+contr%C3%B4le+des+op%C3%A9rations+bancaires-fr = supersededTerm-admn-sts
Conseil+%22Industrie+et+%C3%A9nergie%22-fr = supersededTerm-admn-sts
Conseil+interparlementaire+consultatif+de+Benelux-fr = supersededTerm-admn-sts
Convention+concernant+les+statistiques+des+salaires+et+des+heures+de+travail%2C+1938+%28C63%29-fr = supersededTerm-admn-sts
DG+Politique+r%C3%A9gionale-fr = supersededTerm-admn-sts
Direction+2+-+Coop%C3%A9ration+judiciaire+civile+et+p%C3%A9nale%2C+polici%C3%A8re+et+douani%C3%A8re-fr = supersededTerm-admn-sts
ESAC-fr = supersededTerm-admn-sts
Groupe+%22Droit+des+soci%C3%A9t%C3%A9s%22+%28Comptabilit%C3%A9%29-fr = supersededTerm-admn-sts
Journ%C3%A9e+europ%C3%A9enne+de+la+mer-fr = admittedTerm-admn-sts
Mission+de+consolidation+de+la+paix+en+Centrafrique-fr = preferredTerm-admn-sts
ONDH-fr = supersededTerm-admn-sts
Repr%C3%A9sentant+sp%C3%A9cial+sur+la+situation+des+droits+de+l%27homme+en+R%C3%A9publique+islamique+d%27Iran-fr = supersededTerm-admn-sts
SEEA-fr = admittedTerm-admn-sts
acquis+de+l%27UE-fr = admittedTerm-admn-sts
action+de+groupe-fr = preferredTerm-admn-sts
benzo%5Ba%5Dpyr%C3%A8ne-fr = preferredTerm-admn-sts
bourrelet+gl%C3%A9no%C3%AFdien-fr = supersededTerm-admn-sts
conseil+consultatif+r%C3%A9gional+pour+la+mer+Baltique-fr = supersededTerm-admn-sts
crabes+Chaceon-fr = preferredTerm-admn-sts
crit%C3%A8re-fr = preferredTerm-admn-sts
fonds+sp%C3%A9culatif-fr = preferredTerm-admn-sts
fourniture+de+liquidit%C3%A9s+d%27urgence-fr = preferredTerm-admn-sts
lisbonnisation-fr = deprecatedTerm-admn-sts
m%C3%A9canisme+de+pr%C3%AAt-fr = preferredTerm-admn-sts
march%C3%A9+unique+num%C3%A9rique-fr = preferredTerm-admn-sts
mariage+blanc-fr = admittedTerm-admn-sts
nouveau+coronavirus-fr = supersededTerm-admn-sts
octet-fr = preferredTerm-admn-sts
r%C3%A9sidence+de+longue+dur%C3%A9e-fr = admittedTerm-admn-sts
risque+de+contr%C3%B4le-fr = supersededTerm-admn-sts
s%C3%A9jour+%C3%A0+dur%C3%A9e+ind%C3%A9termin%C3%A9e-fr = admittedTerm-admn-sts
section+%22garantie%22+du+FEOGA-fr = supersededTerm-admn-sts
service+des+pr%C3%AAts-fr = deprecatedTerm-admn-sts
syst%C3%A8me+API-fr = preferredTerm-admn-sts
taux+de+reflux-fr = preferredTerm-admn-sts
visa+de+long+s%C3%A9jour-fr = preferredTerm-admn-sts
%C3%A9olienne+%C3%A0+pas+variable-fr = preferredTerm-admn-sts
AVR-fr = supersededTerm-admn-sts
Acad%C3%A9mie+europ%C3%A9enne+de+s%C3%A9curit%C3%A9+et+de+d%C3%A9fense-fr = supersededTerm-admn-sts
Accueil+et+reclassement+f%C3%A9minin%2C+oeuvre+des+gares-fr = supersededTerm-admn-sts
Administration+de+l%27am%C3%A9nagement+du+territoire+et+du+logement-fr = supersededTerm-admn-sts
Comit%C3%A9+des+%C3%A9glises+aupr%C3%A8s+des+migrants+en+Europe-fr = supersededTerm-admn-sts
