%C3%A5bne+og+bekr%C3%A6ftede+remburser+med+kort+l%C3%B8betid-da = preferredTerm-admn-sts
A-sukkerroe-da = supersededTerm-admn-sts
Den+Internationale+Forening+af+Forhenv%C3%A6rende+EF-medarbejdere-da = supersededTerm-admn-sts
EU%27s+klassificerede+informationer-da = preferredTerm-admn-sts
GD+for+Uddannelse+og+Kultur-da = supersededTerm-admn-sts
Generaldirektorat+XVI-Regionalpolitik+og+Samh%C3%B8righed-da = supersededTerm-admn-sts
Great+Repeal+Bill-da = supersededTerm-admn-sts
R%C3%A5det+for+Uddannelse%2C+Ungdom+og+Kultur-da = supersededTerm-admn-sts
R%C3%A5dets+afg%C3%B8relse+om+ordningen+for+De+Europ%C3%A6iske+F%C3%A6llesskabers+egne+indt%C3%A6gter-da = supersededTerm-admn-sts
amortisationsfaktor-da = deprecatedTerm-admn-sts
bl%C3%A5sten-da = supersededTerm-admn-sts
civil+ESFP-kapacitet-da = supersededTerm-admn-sts
engagementer+med+offentlige+virksomheder-da = deprecatedTerm-admn-sts
fordeling+af+kreditvurderinger-da = deprecatedTerm-admn-sts
g%C3%A6ldsnedskrivningsv%C3%A6rkt%C3%B8j-da = supersededTerm-admn-sts
infektion+med+Newcastle+disease-virus-da = preferredTerm-admn-sts
infektion+med+porcin+reproduktions-+og+respirationssygdom-virus-da = preferredTerm-admn-sts
klassificerede+NATO-oplysninger-da = supersededTerm-admn-sts
klassificeret+oplysning-da = supersededTerm-admn-sts
klassifikationsniveau-da = deprecatedTerm-admn-sts
l%C3%A5neaftaler-da = deprecatedTerm-admn-sts
markedsinput-da = preferredTerm-admn-sts
modelestimater-da = preferredTerm-admn-sts
offentlig+indk%C3%B8bsaftale-da = supersededTerm-admn-sts
pulje+af+securitiserede+eksponeringer-da = preferredTerm-admn-sts
regnskabsforfalskning-da = deprecatedTerm-admn-sts
revolverende+engagement+med+en+kvalificeret+udsteder-da = deprecatedTerm-admn-sts
sikrede-da = deprecatedTerm-admn-sts
sn%C3%A6vrere+samarbejde-da = supersededTerm-admn-sts
tidlig+afslutning-da = deprecatedTerm-admn-sts
